"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Canis lupus baileyi","Mexican wolf","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Panthera onca","Jaguar","Wherever found","2","Endangered","Mammals"
"Leopardus (=Felis) pardalis","Ocelot","wherever found","2","Endangered","Mammals"
"Tamiasciurus fremonti grahamensis","Mount Graham red squirrel","Wherever found","2","Endangered","Mammals"
"Gymnogyps californianus","California condor","U.S.A. only, except where listed as an experimental population","8","Endangered","Birds"
"Rallus obsoletus yumanensis","Yuma Ridgway''s rail","Wherever found","2","Endangered","Birds"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","Wherever found","2","Endangered","Birds"
"Sterna antillarum browni","California least tern","Wherever found","8","Endangered","Birds"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Ambystoma mavortium stebbinsi","Sonoran tiger salamander","Wherever found","2","Endangered","Amphibians"
"Rana chiricahuensis","Chiricahua leopard frog","Wherever found","2","Threatened","Amphibians"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Wherever found","2","Endangered","Fishes"
"Oncorhynchus apache","Apache trout","Wherever found","2","Threatened","Fishes"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Gila ditaenia","Sonora chub","Wherever found","2","Threatened","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Gila purpurea","Yaqui chub","Wherever found","2","Endangered","Fishes"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Cyprinodon macularius","Desert pupfish","Wherever found","2","Endangered","Fishes"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Lepidomeda vittata","Little Colorado spinedace","Wherever found","2","Threatened","Fishes"
