"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Zapus hudsonius preblei","Preble's meadow jumping mouse","wherever found","6","Threatened","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Hesperia leonardus montana","Pawnee montane skipper","Wherever found","6","Threatened","Insects"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Wherever found","6","Endangered","Insects"
"Astragalus humillimus","Mancos milk-vetch","Wherever found","2","Endangered","Flowering Plants"
"Astragalus osterhoutii","Osterhout milkvetch","Wherever found","6","Endangered","Flowering Plants"
"Eutrema penlandii","Penland alpine fen mustard","Wherever found","6","Threatened","Flowering Plants"
"Pediocactus knowltonii","Knowlton's cactus","Wherever found","2","Endangered","Flowering Plants"
"Phacelia formosula","North Park phacelia","Wherever found","6","Endangered","Flowering Plants"
"Sclerocactus glaucus","Colorado hookless Cactus","Wherever found","6","Threatened","Flowering Plants"
"Sclerocactus mesae-verdae","Mesa Verde cactus","Wherever found","2","Threatened","Flowering Plants"
"Eriogonum pelinophilum","Clay-Loving wild buckwheat","Wherever found","6","Endangered","Flowering Plants"
"Physaria obcordata","Dudley Bluffs twinpod","Wherever found","6","Threatened","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Penstemon penlandii","Penland beardtongue","Wherever found","6","Endangered","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Lesquerella congesta","Dudley Bluffs bladderpod","Wherever found","6","Threatened","Flowering Plants"
"Penstemon debilis","Parachute beardtongue","Wherever found","6","Threatened","Flowering Plants"
"Centrocercus minimus","Gunnison sage-grouse","Wherever found","6","Threatened","Birds"
"Ipomopsis polyantha","Pagosa skyrocket","Wherever found","6","Endangered","Flowering Plants"
"Zapus hudsonius luteus","New Mexico meadow jumping mouse","Wherever found","2","Endangered","Mammals"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Phacelia submutica","DeBeque phacelia","Wherever found","6","Threatened","Flowering Plants"
"Mustela nigripes","Black-footed ferret","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))","6","Experimental Population, Non-Essential","Mammals"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
