"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Percina tanasi","Snail darter","Wherever found","4","Threatened","Fishes"
"Etheostoma scotti","Cherokee darter","Wherever found","4","Threatened","Fishes"
"Percina antesella","Amber darter","Wherever found","4","Endangered","Fishes"
"Percina jenkinsi","Conasauga logperch","Wherever found","4","Endangered","Fishes"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Etheostoma etowahae","Etowah darter","Wherever found","4","Endangered","Fishes"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Epioblasma othcaloogensis","Southern acornshell","Wherever found","4","Endangered","Clams"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","Wherever found","4","Threatened","Clams"
"Pleurobema pyriforme","Oval pigtoe","Wherever found","4","Endangered","Clams"
"Hamiota altilis","Finelined pocketbook","Wherever found","4","Threatened","Clams"
