"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Pteropus tokudae","Little Mariana fruit Bat","Wherever found","1","Endangered","Mammals"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Halcyon cinnamomina cinnamomina","Guam Micronesian kingfisher","Wherever found","1","Endangered","Birds"
"Gallinula chloropus guami","Mariana common moorhen","Wherever found","1","Endangered","Birds"
"Rallus owstoni","Guam rail","Wherever found, except where listed as an experimental population","1","Endangered","Birds"
"Aerodramus vanikorensis bartschi","Mariana gray swiftlet","Wherever found","1","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Serianthes nelsonii","Hayun Iagu (=(Guam), Tronkon guafi (Rota))","Wherever found","1","Endangered","Flowering Plants"
"Tabernaemontana rotensis","No common name","Wherever found","1","Threatened","Flowering Plants"
"Samoana fragilis","Fragile tree snail","Wherever found","1","Endangered","Snails"
"Partula gibba","Humped tree snail","Wherever found","1","Endangered","Snails"
"Heritiera longipetiolata","Ufa-halomtano","Wherever found","1","Endangered","Flowering Plants"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Wherever found","1","Endangered","Insects"
"Rallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Partula radiolata","Guam tree snail","Wherever found","1","Endangered","Snails"
"Pteropus mariannus mariannus","Mariana fruit Bat (=Mariana flying fox)","Wherever found","1","Threatened","Mammals"
"Bulbophyllum guamense","Cebello halumtano","Wherever found","1","Threatened","Flowering Plants"
"Dendrobium guamense","No common name","Wherever found","1","Threatened","Flowering Plants"
"Eugenia bryanii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hedyotis megalantha","Paudedo","Wherever found","1","Endangered","Flowering Plants"
"Maesa walkeri","No common name","Wherever found","1","Threatened","Flowering Plants"
"Nervilia jacksoniae","No common name","Wherever found","1","Threatened","Flowering Plants"
"Phyllanthus saffordii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Psychotria malaspinae","Aplokating-palaoan","Wherever found","1","Endangered","Flowering Plants"
"Solanum guamense","Berenghenas halomtano","Wherever found","1","Endangered","Flowering Plants"
"Tuberolabium guamense","No common name","Wherever found","1","Threatened","Flowering Plants"
"Cycas micronesica","Fadang","Wherever found","1","Threatened","Conifers and Cycads"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central West Pacific DPS","1","Endangered","Reptiles"
"Tinospora homosepala","No common name","Wherever found","1","Endangered","Flowering Plants"
