"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Rangifer tarandus ssp. caribou","Southern Mountain Caribou DPS","Southern Mountain DPS","1","Endangered","Mammals"
"Urocitellus brunneus","Northern Idaho Ground Squirrel","Wherever found","1","Threatened","Mammals"
"Salvelinus confluentus","Bull Trout","U.S.A., conterminous, lower 48 states","1","Threatened","Fishes"
"Acipenser transmontanus","White sturgeon","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","1","Endangered","Fishes"
"Taylorconcha serpenticola","Bliss Rapids snail","Wherever found","1","Threatened","Snails"
"Physa natricina","Snake River physa snail","Wherever found","1","Endangered","Snails"
"Pyrgulopsis bruneauensis","Bruneau Hot springsnail","Wherever found","1","Endangered","Snails"
"Lanx sp.","Banbury Springs limpet","Wherever found","1","Endangered","Snails"
"Silene spaldingii","Spalding's Catchfly","Wherever found","1","Threatened","Flowering Plants"
"Mirabilis macfarlanei","MacFarlane's four-o'clock","Wherever found","1","Threatened","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Lepidium papilliferum","Slickspot peppergrass","","1","Threatened","Flowering Plants"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
