"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Discus macclintocki","Iowa Pleistocene snail","Wherever found","3","Endangered","Snails"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Gammarus acherondytes","Illinois cave amphipod","Wherever found","3","Endangered","Crustaceans"
"Apios priceana","Prices potato-bean","","4","Threatened","Flowering Plants"
"Asclepias meadii","Mead's milkweed","Wherever found","3","Threatened","Flowering Plants"
"Boltonia decurrens","Decurrent false aster","Wherever found","3","Threatened","Flowering Plants"
"Cirsium pitcheri","Pitcher's thistle","Wherever found","3","Threatened","Flowering Plants"
"Dalea foliosa","Leafy prairie-clover","Wherever found","4","Endangered","Flowering Plants"
"Lespedeza leptostachya","Prairie bush-clover","Wherever found","3","Threatened","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Hymenoxys herbacea","Lakeside daisy","Wherever found","3","Threatened","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","3","Experimental Population, Non-Essential","Clams"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
