"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Asclepias meadii","Mead's milkweed","Wherever found","3","Threatened","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
