"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Pedicularis furbishiae","Furbish lousewort","Wherever found","5","Endangered","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
