"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Pseudemys rubriventris bangsi","Plymouth Redbelly Turtle","Wherever found","5","Endangered","Reptiles"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Alasmidonta heterodon","Dwarf wedgemussel","Wherever found","5","Endangered","Clams"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Habroscelimorpha dorsalis dorsalis","Northeastern beach tiger beetle","Wherever found","5","Threatened","Insects"
"Ellipsoptera puritana","Puritan tiger beetle","Wherever found","5","Threatened","Insects"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Scirpus ancistrochaetus","Northeastern bulrush","","5","Endangered","Flowering Plants"
"Agalinis acuta","Sandplain gerardia","Wherever found","5","Endangered","Flowering Plants"
"Schwalbea americana","American chaffseed","Wherever found","4","Endangered","Flowering Plants"
"Amaranthus pumilus","Seabeach amaranth","Wherever found","4","Threatened","Flowering Plants"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
