"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Brychius hungerfordi","Hungerford's crawling water Beetle","Wherever found","3","Endangered","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Cirsium pitcheri","Pitcher's thistle","Wherever found","3","Threatened","Flowering Plants"
"Iris lacustris","Dwarf lake iris","Wherever found","3","Threatened","Flowering Plants"
"Mimulus michiganensis","Michigan monkey-flower","Wherever found","3","Endangered","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Solidago houghtonii","Houghton's goldenrod","Wherever found","3","Threatened","Flowering Plants"
"Hymenoxys herbacea","Lakeside daisy","Wherever found","3","Threatened","Flowering Plants"
"Asplenium scolopendrium var. americanum","American hart's-tongue fern","Wherever found","5","Threatened","Ferns and Allies"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
