"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Grus canadensis pulla","Mississippi sandhill crane","Wherever found","4","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Graptemys oculifera","Ringed map turtle","Wherever found","4","Threatened","Reptiles"
"Graptemys flavimaculata","Yellow-blotched map turtle","Wherever found","4","Threatened","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Gopherus polyphemus","Gopher tortoise","West of Mobile and Tombigbee Rivers","4","Threatened","Reptiles"
"Rana sevosa","dusky gopher frog","Wherever found","4","Endangered","Amphibians"
"Percina tanasi","Snail darter","Wherever found","4","Threatened","Fishes"
"Etheostoma rubrum","Bayou darter","Wherever found","4","Threatened","Fishes"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Lampsilis virescens","Alabama lampmussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Pleurobema curtum","Black clubshell","Wherever found","4","Endangered","Clams"
"Epioblasma penita","Southern combshell","Wherever found","4","Endangered","Clams"
"Pleurobema marshalli","Flat pigtoe","Wherever found","4","Endangered","Clams"
"Pleurobema taitianum","Heavy pigtoe","Wherever found","4","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Epioblasma brevidens","Cumberlandian combshell","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Potamilus inflatus","Inflated heelsplitter","Wherever found","4","Threatened","Clams"
"Hamiota perovalis","Orangenacre mucket","Wherever found","4","Threatened","Clams"
"Quadrula stapes","Stirrupshell","Wherever found","4","Endangered","Clams"
"Pleurobema perovatum","Ovate clubshell","Wherever found","4","Endangered","Clams"
"Pleurobema decisum","Southern clubshell","Wherever found","4","Endangered","Clams"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Apios priceana","Prices potato-bean","","4","Threatened","Flowering Plants"
"Lindera melissifolia","Pondberry","Wherever found","4","Endangered","Flowering Plants"
"Xyris tennesseensis","Tennessee yellow-eyed grass","Wherever found","4","Endangered","Flowering Plants"
"Isoetes louisianensis","Louisiana quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Platanthera integrilabia","White fringeless orchid","","4","Threatened","Flowering Plants"
"Helianthus verticillatus","Whorled Sunflower","","4","Endangered","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Percina aurora","Pearl darter","Wherever found","4","Threatened","Fishes"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Pituophis melanoleucus lodingi","Black pinesnake","Wherever found","4","Threatened","Reptiles"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Wherever found","4","Endangered","Clams"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
