"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Penstemon haydenii","Blowout penstemon","Wherever found","6","Endangered","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Cicindela nevadica lincolniana","Salt Creek Tiger beetle","Wherever found","6","Endangered","Insects"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
