"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Rallus obsoletus yumanensis","Yuma Ridgway''s rail","Wherever found","2","Endangered","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Chasmistes cujus","Cui-ui","Wherever found","8","Endangered","Fishes"
"Moapa coriacea","Moapa dace","Wherever found","8","Endangered","Fishes"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Gila robusta jordani","Pahranagat roundtail chub","Wherever found","8","Endangered","Fishes"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","Wherever found","8","Endangered","Fishes"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Rhinichthys osculus nevadensis","Ash Meadows speckled dace","Wherever found","8","Endangered","Fishes"
"Rhinichthys osculus oligoporus","Clover Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Eremichthys acros","Desert dace","Wherever found","8","Threatened","Fishes"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Lepidomeda albivallis","White River spinedace","Wherever found","8","Endangered","Fishes"
"Crenichthys baileyi grandis","Hiko White River springfish","Wherever found","8","Endangered","Fishes"
"Crenichthys nevadae","Railroad Valley springfish","Wherever found","8","Threatened","Fishes"
"Crenichthys baileyi baileyi","White River springfish","Wherever found","8","Endangered","Fishes"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Salvelinus confluentus","Bull Trout","U.S.A., conterminous, lower 48 states","1","Threatened","Fishes"
"Pyrgulopsis bruneauensis","Bruneau Hot springsnail","Wherever found","1","Endangered","Snails"
"Ambrysus amargosus","Ash Meadows naucorid","Wherever found","8","Threatened","Insects"
"Pseudocopaeodes eunus obscurus","Carson wandering skipper","Wherever found","8","Endangered","Insects"
"Astragalus phoenix","Ash meadows milk-vetch","Wherever found","8","Threatened","Flowering Plants"
"Centaurium namophilum","Spring-loving centaury","Wherever found","8","Threatened","Flowering Plants"
"Ivesia kingii var. eremica","Ash Meadows ivesia","Wherever found","8","Threatened","Flowering Plants"
"Mentzelia leucophylla","Ash Meadows blazingstar","Wherever found","8","Threatened","Flowering Plants"
"Enceliopsis nudicaulis var. corrugata","Ash Meadows sunray","Wherever found","8","Threatened","Flowering Plants"
"Grindelia fraxinipratensis","Ash Meadows gumplant","Wherever found","8","Threatened","Flowering Plants"
"Nitrophila mohavensis","Amargosa niterwort","Wherever found","8","Endangered","Flowering Plants"
"Eriogonum ovalifolium var. williamsiae","Steamboat buckwheat","Wherever found","8","Endangered","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Anaxyrus canorus","Yosemite toad","Wherever found","8","Threatened","Amphibians"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Ivesia webberi","Webber's ivesia","Wherever found","8","Threatened","Flowering Plants"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Empetrichthys latos","Pahrump poolfish","Wherever found","8","Endangered","Fishes"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Wherever found","8","Endangered","Insects"
"Rana sierrae","Sierra Nevada Yellow-legged Frog","Wherever found","8","Endangered","Amphibians"
"Vulpes vulpes necator","Sierra Nevada red fox","","8","Endangered","Mammals"
"Anaxyrus williamsi","Dixie Valley Toad","","8","Emergency Listing, Endangered","Amphibians"
