"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Canis lupus baileyi","Mexican wolf","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Panthera onca","Jaguar","Wherever found","2","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Leptonycteris nivalis","Mexican long-nosed bat","Wherever found","2","Endangered","Mammals"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Rana chiricahuensis","Chiricahua leopard frog","Wherever found","2","Threatened","Amphibians"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Wherever found","2","Endangered","Fishes"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Notropis simus pecosensis","Pecos bluntnose shiner","Wherever found","2","Threatened","Fishes"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Meda fulgida","Spikedace","Wherever found","2","Endangered","Fishes"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Hybognathus amarus","Rio Grande Silvery Minnow","Wherever found, except where listed as an experimental population","2","Endangered","Fishes"
"Tryonia alamosae","Alamosa springsnail","Wherever found","2","Endangered","Snails"
"Pyrgulopsis neomexicana","Socorro springsnail","Wherever found","2","Endangered","Snails"
"Thermosphaeroma thermophilus","Socorro isopod","Wherever found","2","Endangered","Crustaceans"
"Helianthus paradoxus","Pecos (=puzzle, =paradox) sunflower","Wherever found","2","Threatened","Flowering Plants"
"Argemone pleiacantha ssp. pinnatisecta","Sacramento prickly poppy","Wherever found","2","Endangered","Flowering Plants"
"Astragalus humillimus","Mancos milk-vetch","Wherever found","2","Endangered","Flowering Plants"
"Coryphantha sneedii var. leei","Lee pincushion cactus","Wherever found","2","Threatened","Flowering Plants"
"Coryphantha sneedii var. sneedii","Sneed pincushion cactus","Wherever found","2","Endangered","Flowering Plants"
"Echinocereus fendleri var. kuenzleri","Kuenzler hedgehog cactus","Wherever found","2","Threatened","Flowering Plants"
"Erigeron rhizomatus","Zuni fleabane","Wherever found","2","Threatened","Flowering Plants"
"Eriogonum gypsophilum","Gypsum wild-buckwheat","Wherever found","2","Threatened","Flowering Plants"
"Pediocactus knowltonii","Knowlton's cactus","Wherever found","2","Endangered","Flowering Plants"
"Sclerocactus mesae-verdae","Mesa Verde cactus","Wherever found","2","Threatened","Flowering Plants"
"Hedeoma todsenii","Todsen's pennyroyal","Wherever found","2","Endangered","Flowering Plants"
"Cirsium vinaceum","Sacramento Mountains thistle","Wherever found","2","Threatened","Flowering Plants"
"Coryphantha robbinsorum","Cochise pincushion cactus","Wherever found","2","Threatened","Flowering Plants"
"Lilaeopsis schaffneriana var. recurva","Huachuca water-umbel","Wherever found","2","Endangered","Flowering Plants"
"Ipomopsis sancti-spiritus","Holy Ghost ipomopsis","Wherever found","2","Endangered","Flowering Plants"
"Asplenium scolopendrium var. americanum","American hart's-tongue fern","Wherever found","5","Threatened","Ferns and Allies"
"Assiminea pecos","Pecos assiminea snail","Wherever found","2","Endangered","Snails"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Juturnia kosteri","Koster's springsnail","Wherever found","2","Endangered","Snails"
"Gammarus desperatus","Noel's Amphipod","Wherever found","2","Endangered","Crustaceans"
"Thamnophis eques megalops","Northern Mexican gartersnake","Wherever found","2","Threatened","Reptiles"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Salt and Verde R. drainages, AZ","6","Experimental Population, Non-Essential","Fishes"
"Popenaias popeii","Texas Hornshell","Wherever found","2","Endangered","Clams"
"Thamnophis rufipunctatus","Narrow-headed gartersnake","Wherever found","2","Threatened","Reptiles"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Plethodon neomexicanus","Jemez Mountains salamander","Wherever found","2","Endangered","Amphibians"
"Pyrgulopsis chupaderae","Chupadera springsnail","Wherever found","2","Endangered","Snails"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Zapus hudsonius luteus","New Mexico meadow jumping mouse","Wherever found","2","Endangered","Mammals"
"Gila intermedia","Gila chub","Wherever found","2","Endangered","Fishes"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
