"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Noturus trautmani","Scioto madtom","Wherever found","3","Endangered","Fishes"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Epioblasma obliquata perobliqua","White catspaw (pearlymussel)","Wherever found","3","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Aconitum noveboracense","Northern wild monkshood","Wherever found","3","Threatened","Flowering Plants"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Spiraea virginiana","Virginia spiraea","Wherever found","5","Threatened","Flowering Plants"
"Hymenoxys herbacea","Lakeside daisy","Wherever found","3","Threatened","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","3","Experimental Population, Non-Essential","Clams"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
