"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Wherever found","2","Endangered","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Percina pantherina","Leopard darter","Wherever found","2","Threatened","Fishes"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Arcidens wheeleri","Ouachita rock pocketbook","Wherever found","2","Endangered","Clams"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Ptilimnium nodosum","Harperella","Wherever found","5","Endangered","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Alligator mississippiensis","American alligator","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
