"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Charadrius nivosus nivosus","Western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Brachyramphus marmoratus","Marbled murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys olivacea","Olive ridley sea turtle","Wherever found, except when listed as endangered under 50 CFR 224.101","4","Threatened","Reptiles"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Gila bicolor ssp.","Hutton tui chub","Wherever found","1","Threatened","Fishes"
"Deltistes luxatus","Lost River sucker","Wherever found","8","Endangered","Fishes"
"Chasmistes brevirostris","Shortnose Sucker","Wherever found","8","Endangered","Fishes"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Salvelinus confluentus","Bull Trout","U.S.A., conterminous, lower 48 states","1","Threatened","Fishes"
"Eucyclogobius newberryi","Tidewater goby","Wherever found","8","Endangered","Fishes"
"Physa natricina","Snake River physa snail","Wherever found","1","Endangered","Snails"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Wherever found","1","Threatened","Insects"
"Icaricia icarioides fenderi","Fender's blue butterfly","Wherever found","1","Endangered","Insects"
"Branchinecta lynchi","Vernal pool fairy shrimp","Wherever found","8","Threatened","Crustaceans"
"Lepidurus packardi","Vernal pool tadpole shrimp","Wherever found","8","Endangered","Crustaceans"
"Fritillaria gentneri","Gentner's Fritillary","Wherever found","1","Endangered","Flowering Plants"
"Orcuttia tenuis","Slender Orcutt grass","Wherever found","8","Threatened","Flowering Plants"
"Plagiobothrys hirtus","rough popcornflower","Wherever found","1","Endangered","Flowering Plants"
"Silene spaldingii","Spalding's Catchfly","Wherever found","1","Threatened","Flowering Plants"
"Arabis macdonaldiana","McDonald's rock-cress","Wherever found","8","Endangered","Flowering Plants"
"Lilium occidentale","Western lily","Wherever found","8","Endangered","Flowering Plants"
"Mirabilis macfarlanei","MacFarlane's four-o'clock","Wherever found","1","Threatened","Flowering Plants"
"Sidalcea nelsoniana","Nelson's checker-mallow","Wherever found","1","Threatened","Flowering Plants"
"Stephanomeria malheurensis","Malheur wire-lettuce","Wherever found","1","Endangered","Flowering Plants"
"Astragalus applegatei","Applegate's milk-vetch","Wherever found","8","Endangered","Flowering Plants"
"Castilleja levisecta","golden paintbrush","Wherever found","1","Threatened","Flowering Plants"
"Thelypodium howellii ssp. spectabilis","Howell''s spectacular thelypody","Wherever found","1","Threatened","Flowering Plants"
"Lupinus sulphureus ssp. kincaidii","Kincaid's Lupine","Wherever found","1","Threatened","Flowering Plants"
"Erigeron decumbens","Willamette daisy","Wherever found","1","Endangered","Flowering Plants"
"Limnanthes pumila ssp. grandiflora","Large-flowered woolly meadowfoam","Wherever found","1","Endangered","Flowering Plants"
"Lomatium cookii","Cook's lomatium","Wherever found","1","Endangered","Flowering Plants"
"Rana pretiosa","Oregon spotted frog","Wherever found","1","Threatened","Amphibians"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Bombus franklini","Franklin''s bumble bee","Wherever found","1","Endangered","Insects"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Caretta caretta","Loggerhead sea turtle","North Pacific Ocean DPS","4","Endangered","Reptiles"
"Martes caurina","Pacific Marten, Coastal Distinct Population Segment","Wherever found","8","Threatened","Mammals"
