"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Amazona vittata","Puerto Rican parrot","Wherever found","4","Endangered","Birds"
"Columba inornata wetmorei","Puerto Rican plain Pigeon","Wherever found","4","Endangered","Birds"
"Caprimulgus noctitherus","Puerto Rican nightjar","Wherever found","4","Endangered","Birds"
"Agelaius xanthomus","Yellow-shouldered blackbird","Wherever found","4","Endangered","Birds"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","Wherever found","4","Endangered","Birds"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Wherever found","4","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Epicrates inornatus","Puerto Rican boa","Wherever found","4","Endangered","Reptiles"
"Anolis roosevelti","Culebra Island giant anole","Wherever found","4","Endangered","Reptiles"
"Epicrates monensis monensis","Mona boa","Wherever found","4","Threatened","Reptiles"
"Cyclura stejnegeri","Mona ground Iguana","Wherever found","4","Threatened","Reptiles"
"Chilabothrus granti","Virgin Islands tree boa","Wherever found","4","Endangered","Reptiles"
"Eleutherodactylus jasperi","Golden coqui","Wherever found","4","Threatened","Amphibians"
"Peltophryne lemur","Puerto Rican crested toad","Wherever found","4","Threatened","Amphibians"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Aristida portoricensis","Pelos del diablo","Wherever found","4","Endangered","Flowering Plants"
"Banara vanderbiltii","Palo de ramon","Wherever found","4","Endangered","Flowering Plants"
"Buxus vahlii","Vahl's boxwood","Wherever found","4","Endangered","Flowering Plants"
"Callicarpa ampla","Capa rosa","Wherever found","4","Endangered","Flowering Plants"
"Calyptronoma rivalis","Palma de manaca","Wherever found","4","Threatened","Flowering Plants"
"Chamaecrista glandulosa var. mirabilis","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cordia bellonis","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cornutia obovata","Palo de nigua","Wherever found","4","Endangered","Flowering Plants"
"Crescentia portoricensis","Higuero de sierra","Wherever found","4","Endangered","Flowering Plants"
"Daphnopsis helleriana","No common name","Wherever found","4","Endangered","Flowering Plants"
"Eugenia haematocarpa","Uvillo","Wherever found","4","Endangered","Flowering Plants"
"Harrisia portoricensis","Higo Chumbo","Wherever found","4","Threatened","Flowering Plants"
"Ilex cookii","Cook's holly","Wherever found","4","Endangered","Flowering Plants"
"Mitracarpus maxwelliae","No common name","Wherever found","4","Endangered","Flowering Plants"
"Mitracarpus polycladus","No common name","Wherever found","4","Endangered","Flowering Plants"
"Ottoschulzia rhodoxylon","Palo de rosa","Wherever found","4","Endangered","Flowering Plants"
"Peperomia wheeleri","Wheeler's peperomia","Wherever found","4","Endangered","Flowering Plants"
"Pleodendron macranthum","Chupacallos","Wherever found","4","Endangered","Flowering Plants"
"Solanum drymophilum","Erubia","Wherever found","4","Endangered","Flowering Plants"
"Stahlia monosperma","Cobana negra","Wherever found","4","Threatened","Flowering Plants"
"Ternstroemia luquillensis","Palo colorado","Wherever found","4","Endangered","Flowering Plants"
"Ternstroemia subsessilis","No common name","Wherever found","4","Endangered","Flowering Plants"
"Trichilia triacantha","Bariaco","Wherever found","4","Endangered","Flowering Plants"
"Zanthoxylum thomasianum","St. Thomas prickly-ash","Wherever found","4","Endangered","Flowering Plants"
"Myrcia paganii","No common name","Wherever found","4","Endangered","Flowering Plants"
"Styrax portoricensis","Palo de jazmin","Wherever found","4","Endangered","Flowering Plants"
"Gesneria pauciflora","No common name","Wherever found","4","Threatened","Flowering Plants"
"Schoepfia arenaria","No common name","Wherever found","4","Threatened","Flowering Plants"
"Aristida chaseae","No common name","Wherever found","4","Endangered","Flowering Plants"
"Auerodendron pauciflorum","No common name","Wherever found","4","Endangered","Flowering Plants"
"Catesbaea melanocarpa","No common name","Wherever found","4","Endangered","Flowering Plants"
"Juglans jamaicensis","West Indian Walnut (=Nogal)","Wherever found","4","Endangered","Flowering Plants"
"Leptocereus grantianus","No common name","Wherever found","4","Endangered","Flowering Plants"
"Lyonia truncata var. proctorii","No common name","Wherever found","4","Endangered","Flowering Plants"
"Vernonia proctorii","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cranichis ricartii","No common name","Wherever found","4","Endangered","Flowering Plants"
"Ilex sintenisii","No common name","Wherever found","4","Endangered","Flowering Plants"
"Eugenia woodburyana","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cyathea dryopteroides","Elfin tree fern","Wherever found","4","Endangered","Ferns and Allies"
"Adiantum vivesii","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Elaphoglossum serpens","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Polystichum calderonense","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Tectaria estremerana","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris inabonensis","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris verecunda","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris yaucoensis","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Goetzea elegans","Beautiful goetzea","Wherever found","4","Endangered","Flowering Plants"
"Varronia rupicola","No common name","Wherever found","4","Threatened","Flowering Plants"
"Gonocalyx concolor","No common name","Wherever found","4","Endangered","Flowering Plants"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Eleutherodactylus juanariveroi","Llanero Coqui","Wherever found","4","Endangered","Amphibians"
