"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Vermivora bachmanii","Bachman's warbler (=wood)","Wherever found","4","Endangered","Birds"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Alasmidonta raveneliana","Appalachian elktoe","Wherever found","4","Endangered","Clams"
"Lasmigona decorata","Carolina heelsplitter","Wherever found","4","Endangered","Clams"
"Amphianthus pusillus","Little amphianthus","Wherever found","4","Threatened","Flowering Plants"
"Hexastylis naniflora","Dwarf-flowered heartleaf","Wherever found","4","Threatened","Flowering Plants"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Ribes echinellum","Miccosukee gooseberry","","4","Threatened","Flowering Plants"
"Sagittaria fasciculata","Bunched arrowhead","Wherever found","4","Endangered","Flowering Plants"
"Trillium persistens","Persistent trillium","Wherever found","4","Endangered","Flowering Plants"
"Echinacea laevigata","Smooth coneflower","Wherever found","4","Endangered","Flowering Plants"
"Helianthus schweinitzii","Schweinitz's sunflower","Wherever found","4","Endangered","Flowering Plants"
"Helonias bullata","Swamp pink","Wherever found","5","Threatened","Flowering Plants"
"Lindera melissifolia","Pondberry","Wherever found","4","Endangered","Flowering Plants"
"Lysimachia asperulaefolia","Rough-leaved loosestrife","Wherever found","4","Endangered","Flowering Plants"
"Oxypolis canbyi","Canby's dropwort","Wherever found","4","Endangered","Flowering Plants"
"Ptilimnium nodosum","Harperella","Wherever found","5","Endangered","Flowering Plants"
"Rhus michauxii","Michaux's sumac","Wherever found","4","Endangered","Flowering Plants"
"Sarracenia rubra ssp. jonesii","Mountain sweet pitcher-plant","Wherever found","4","Endangered","Flowering Plants"
"Schwalbea americana","American chaffseed","Wherever found","4","Endangered","Flowering Plants"
"Amaranthus pumilus","Seabeach amaranth","Wherever found","4","Threatened","Flowering Plants"
"Trillium reliquum","Relict trillium","Wherever found","4","Endangered","Flowering Plants"
"Sisyrinchium dichotomum","White irisette","Wherever found","4","Endangered","Flowering Plants"
"Carex lutea","Golden sedge","Wherever found","4","Endangered","Flowering Plants"
"Gymnoderma lineare","Rock gnome lichen","Wherever found","4","Endangered","Lichens"
"Platanthera integrilabia","White fringeless orchid","","4","Threatened","Flowering Plants"
"Glyptemys muhlenbergii","bog turtle","U.S.A. (GA, NC, SC, TN, VA)","4","Similarity of Appearance (Threatened)","Reptiles"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Chelonia mydas","Green sea turtle","North Atlantic DPS","4","Threatened","Reptiles"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
