"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Wherever found","4","Endangered","Mammals"
"Percina tanasi","Snail darter","Wherever found","4","Threatened","Fishes"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Etheostoma boschungi","Slackwater darter","Wherever found","4","Threatened","Fishes"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Noturus baileyi","Smoky madtom","Wherever found","4","Endangered","Fishes"
"Noturus stanauli","Pygmy madtom","Wherever found","4","Endangered","Fishes"
"Percina antesella","Amber darter","Wherever found","4","Endangered","Fishes"
"Percina jenkinsi","Conasauga logperch","Wherever found","4","Endangered","Fishes"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Etheostoma wapiti","Boulder darter","Wherever found","4","Endangered","Fishes"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Etheostoma akatulo","bluemask darter","Wherever found","4","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Villosa perpurpurea","Purple bean","Wherever found","5","Endangered","Clams"
"Epioblasma torulosa gubernaculum","Green blossom (pearlymussel)","Wherever found","4","Endangered","Clams"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Epioblasma turgidula","Turgid blossom (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Epioblasma florentina florentina","Yellow blossom (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Lampsilis virescens","Alabama lampmussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Toxolasma cylindrellus","Pale lilliput (pearlymussel)","Wherever found","4","Endangered","Clams"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","Wherever found","5","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Lemiox rimosus","Birdwing pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Dromus dromas","Dromedary pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pegias fabula","Littlewing pearlymussel","Wherever found","4","Endangered","Clams"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Fusconaia cor","Shiny pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Obovaria retusa","Ring pink (mussel)","Wherever found","4","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Quadrula cylindrica strigillata","Rough rabbitsfoot","Wherever found","5","Endangered","Clams"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Wherever found","4","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Epioblasma brevidens","Cumberlandian combshell","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Alasmidonta raveneliana","Appalachian elktoe","Wherever found","4","Endangered","Clams"
"Alasmidonta atropurpurea","Cumberland elktoe","Wherever found","4","Endangered","Clams"
"Epioblasma capsaeformis","Oyster mussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Hemistena lata","Cracking pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Epioblasma othcaloogensis","Southern acornshell","Wherever found","4","Endangered","Clams"
