"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Puma yagouaroundi cacomitli","Gulf Coast jaguarundi","Wherever found","2","Endangered","Mammals"
"Leopardus (=Felis) pardalis","Ocelot","wherever found","2","Endangered","Mammals"
"Leptonycteris nivalis","Mexican long-nosed bat","Wherever found","2","Endangered","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Setophaga chrysoparia","golden-cheeked warbler","Wherever found","2","Endangered","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Eurycea rathbuni","Texas blind salamander","Wherever found","2","Endangered","Amphibians"
"Bufo houstonensis","Houston toad","Wherever found","2","Endangered","Amphibians"
"Eurycea nana","San Marcos salamander","Wherever found","2","Threatened","Amphibians"
"Eurycea sosorum","Barton Springs salamander","Wherever found","2","Endangered","Amphibians"
"Gambusia gaigei","Big Bend gambusia","Wherever found","2","Endangered","Fishes"
"Gambusia heterochir","Clear Creek gambusia","Wherever found","2","Endangered","Fishes"
"Cyprinodon elegans","Comanche Springs pupfish","Wherever found","2","Endangered","Fishes"
"Etheostoma fonticola","Fountain darter","Wherever found","2","Endangered","Fishes"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Gambusia georgei","San Marcos gambusia","Wherever found","2","Endangered","Fishes"
"Cyprinodon bovinus","Leon Springs pupfish","Wherever found","2","Endangered","Fishes"
"Dionda diaboli","Devils River minnow","Wherever found","2","Threatened","Fishes"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Hybognathus amarus","Rio Grande Silvery Minnow","Wherever found, except where listed as an experimental population","2","Endangered","Fishes"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Batrisodes texanus","Coffin Cave mold beetle","Wherever found","2","Endangered","Insects"
"Texamaurops reddelli","Kretschmarr Cave mold beetle","Wherever found","2","Endangered","Insects"
"Rhadine persephone","Tooth Cave ground beetle","Wherever found","2","Endangered","Insects"
"Heterelmis comalensis","Comal Springs riffle beetle","Wherever found","2","Endangered","Insects"
"Stygoparnus comalensis","Comal Springs dryopid beetle","Wherever found","2","Endangered","Insects"
"Rhadine infernalis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Batrisodes venyivi","Helotes mold beetle","Wherever found","2","Endangered","Insects"
"Rhadine exilis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Texella reddelli","Bee Creek Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Texella reyesi","Bone Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Tartarocreagris texana","Tooth Cave pseudoscorpion","Wherever found","2","Endangered","Arachnids"
"Tayshaneta myopica","Tooth Cave spider","Wherever found","2","Endangered","Arachnids"
"Texella cokendolpheri","Cokendolpher Cave Harvestman","Wherever found","2","Endangered","Arachnids"
"Tayshaneta microps","Government Canyon Bat Cave spider","Wherever found","2","Endangered","Arachnids"
"Cicurina madla","Madla Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Cicurina baronia","Robber Baron Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Cicurina vespera","Government Canyon Bat Cave meshweaver","Wherever found","2","Endangered","Arachnids"
"Cicurina venii","Braken Bat Cave meshweaver","Wherever found","2","Endangered","Arachnids"
"Stygobromus (=Stygonectes) pecki","Peck's cave amphipod","Wherever found","2","Endangered","Crustaceans"
"Astrophytum asterias","Star cactus","Wherever found","2","Endangered","Flowering Plants"
"Helianthus paradoxus","Pecos (=puzzle, =paradox) sunflower","Wherever found","2","Threatened","Flowering Plants"
"Physaria thamnophila","Zapata bladderpod","Wherever found","2","Endangered","Flowering Plants"
"Thymophylla tephroleuca","Ashy dogweed","Wherever found","2","Endangered","Flowering Plants"
"Ambrosia cheiranthifolia","South Texas ambrosia","Wherever found","2","Endangered","Flowering Plants"
"Sclerocactus brevihamatus ssp. tobuschii","Tobusch fishhook cactus","Wherever found","2","Threatened","Flowering Plants"
"Callirhoe scabriuscula","Texas poppy-mallow","Wherever found","2","Endangered","Flowering Plants"
"Escobaria minima","Nellie''s cory cactus","Wherever found","2","Endangered","Flowering Plants"
"Coryphantha ramillosa","Bunched cory cactus","Wherever found","2","Threatened","Flowering Plants"
"Coryphantha sneedii var. sneedii","Sneed pincushion cactus","Wherever found","2","Endangered","Flowering Plants"
