"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Wherever found","4","Endangered","Mammals"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Plethodon shenandoah","Shenandoah salamander","Wherever found","5","Endangered","Amphibians"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Percina rex","Roanoke logperch","Wherever found","5","Endangered","Fishes"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Villosa perpurpurea","Purple bean","Wherever found","5","Endangered","Clams"
"Epioblasma torulosa gubernaculum","Green blossom (pearlymussel)","Wherever found","4","Endangered","Clams"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","Wherever found","5","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Lemiox rimosus","Birdwing pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
