"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Rangifer tarandus ssp. caribou","Southern Mountain Caribou DPS","Southern Mountain DPS","1","Endangered","Mammals"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Charadrius nivosus nivosus","Western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Brachyramphus marmoratus","Marbled murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Salvelinus confluentus","Bull Trout","U.S.A., conterminous, lower 48 states","1","Threatened","Fishes"
"Hackelia venusta","Showy stickseed","Wherever found","1","Endangered","Flowering Plants"
"Sidalcea oregana var. calva","Wenatchee Mountains checkermallow","Wherever found","1","Endangered","Flowering Plants"
"Silene spaldingii","Spalding's Catchfly","Wherever found","1","Threatened","Flowering Plants"
"Sidalcea nelsoniana","Nelson's checker-mallow","Wherever found","1","Threatened","Flowering Plants"
"Arenaria paludicola","Marsh Sandwort","Wherever found","8","Endangered","Flowering Plants"
"Castilleja levisecta","golden paintbrush","Wherever found","1","Threatened","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Lupinus sulphureus ssp. kincaidii","Kincaid's Lupine","Wherever found","1","Threatened","Flowering Plants"
"Brachylagus idahoensis","Columbia Basin Pygmy Rabbit","Columbia Basin DPS","1","Endangered","Mammals"
"Thomomys mazama glacialis","Roy Prairie pocket gopher","Wherever found","1","Threatened","Mammals"
"Rana pretiosa","Oregon spotted frog","Wherever found","1","Threatened","Amphibians"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Physaria douglasii ssp. tuplashensis","White Bluffs bladderpod","Wherever found","1","Threatened","Flowering Plants"
"Euchloe ausonides insulanus","Island marble Butterfly","Wherever found","1","Endangered","Insects"
"Eriogonum codium","Umtanum desert buckwheat","Wherever found","1","Threatened","Flowering Plants"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Thomomys mazama pugetensis","Olympia pocket gopher","Wherever found","1","Threatened","Mammals"
"Thomomys mazama tumuli","Tenino pocket gopher","Wherever found","1","Threatened","Mammals"
"Thomomys mazama yelmensis","Yelm pocket gopher","Wherever found","1","Threatened","Mammals"
