"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Discus macclintocki","Iowa Pleistocene snail","Wherever found","3","Endangered","Snails"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Aconitum noveboracense","Northern wild monkshood","Wherever found","3","Threatened","Flowering Plants"
"Asclepias meadii","Mead's milkweed","Wherever found","3","Threatened","Flowering Plants"
"Cirsium pitcheri","Pitcher's thistle","Wherever found","3","Threatened","Flowering Plants"
"Iris lacustris","Dwarf lake iris","Wherever found","3","Threatened","Flowering Plants"
"Lespedeza leptostachya","Prairie bush-clover","Wherever found","3","Threatened","Flowering Plants"
"Oxytropis campestris var. chartacea","Fassett's locoweed","Wherever found","3","Threatened","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
