"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Zapus hudsonius preblei","Preble's meadow jumping mouse","wherever found","6","Threatened","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Anaxyrus baxteri","Wyoming Toad","Wherever found","6","Endangered","Amphibians"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Rhinichthys osculus thermalis","Kendall Warm Springs dace","Wherever found","6","Endangered","Fishes"
"Penstemon haydenii","Blowout penstemon","Wherever found","6","Endangered","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Yermo xanthocephalus","Desert yellowhead","Wherever found","6","Threatened","Flowering Plants"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Mustela nigripes","Black-footed ferret","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))","6","Experimental Population, Non-Essential","Mammals"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Zapada glacier","Western glacier stonefly","Wherever found","6","Threatened","Insects"
