Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the British Columbia region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Falco rusticolus","Gyr Falcon","Falconidae","Birds"
"Acridotheres cristatellus","Chinese Jungle Myna","Sturnidae","Birds"
"Spizella breweri","Brewer's Sparrow","Emberizidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Surnia ulula","Northern Hawk Owl","Strigidae","Birds"
"Dendroica virens","Black-Throated Green Warbler","Parulidae","Birds"
"Sayornis saya","Say's Phoebe","Tyrannidae","Birds"
"Sitta pygmaea","Pygmy Nuthatch","Sittidae","Birds"
"Vermivora celata","Orange-Crowned Warbler","Parulidae","Birds"
"Rhynchophanes mccownii","Mccown's Longspur","Calcariidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Empidonax wrightii","Grey Flycatcher","Tyrannidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Picoides arcticus","Black-Backed Woodpecker","Picidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Larus schistisagus","Slaty-Backed Gull","Laridae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Pterodroma cookii","Cook's Petrel","Procellariidae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Sterna forsteri","Forster's Tern","Laridae","Birds"
"Empidonax difficilis","Pacific-Slope Flycatcher","Tyrannidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Dendroica townsendi","Townsend's Warbler","Parulidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Dendroica palmarum","Palm Warbler","Parulidae","Birds"
"Pheucticus melanocephalus","Black-Headed Grosbeak","Cardinalidae","Birds"
"Icterus bullockii","Bullock's Oriole","Icteridae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Phoebastria nigripes","Black Footed Albatross","Diomedeidae","Birds"
"Melanitta perspicillata","Surf Scoter","Anatidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Spizella pallida","Clay-Coloured Sparrow","Emberizidae","Birds"
"Oporornis agilis","Connecticut Warbler","Parulidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Calcarius mccownii","Mccown's Longspur","Emberizidae","Birds"
"Troglodytes aedon","House Wren","Troglodytidae","Birds"
"Carduelis hornemanni","Arctic Redpoll","Fringillidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Pheucticus ludovicianus","Rose-Breasted Grosbeak","Cardinalidae","Birds"
"Athene cunicularia","Burrowing Owl","Strigidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Melanerpes lewis","Lewis' Woodpecker","Picidae","Birds"
"Thryomanes bewickii","Bewick's Wren","Troglodytidae","Birds"
"Puffinus bulleri","Grey-Backed Shearwater","Procellariidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Tyrannus verticalis","Western Kingbird","Tyrannidae","Birds"
"Anthus cervinus","Red-Throated Pipit","Motacillidae","Birds"
"Meleagris gallopavo","Common Turkey","Phasianidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Parus hudsonicus","Boreal Chickadee","Paridae","Birds"
"Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Dendragapus obscurus","Dusky Grouse","Phasianidae","Birds"
"Selasphorus rufus","Rufous Hummingbird","Trochilidae","Birds"
"Piranga ludoviciana","Western Tanager","Cardinalidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Fulmarus glacialis","Fulmar","Procellariidae","Birds"
"Anthus spragueii","Sprague's Pipit","Motacillidae","Birds"
"Carduelis tristis","American Goldfinch","Fringillidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Lagopus lagopus","Willow Ptarmigan","Phasianidae","Birds"
"Carpodacus cassinii","Cassin's Finch","Fringillidae","Birds"
"Anas cyanoptera","Cinnamon Teal","Anatidae","Birds"
