Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Newfoundland and Labrador region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Oceanites oceanicus","Wilson's Petrel","Hydrobatidae","Birds"
"Phalacrocorax auritus","Double-Crested Cormorant","Phalacrocoracidae","Birds"
"Quiscalus quiscula","Common Grackle","Icteridae","Birds"
"Melospiza georgiana","Swamp Sparrow","Emberizidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Dolichonyx oryzivorus","Bobolink","Icteridae","Birds"
"Pinicola enucleator","Pine Grosbeak","Fringillidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Bucephala islandica","Barrow's Goldeneye","Anatidae","Birds"
"Catharus ustulatus","Swainson's Thrush","Turdidae","Birds"
"Empidonax alnorum","Alder Flycatcher","Tyrannidae","Birds"
"Melanitta nigra","Common Scoter","Anatidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Egretta gularis","Western Reef Egret","Ardeidae","Birds"
"Anas rubripes","American Black Duck","Anatidae","Birds"
"Stercorarius parasiticus","Arctic Skua","Stercorariidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Regulus satrapa","Golden-Crowned Kinglet","Reguliidae","Birds"
"Actitis macularius","Spotted Sandpiper","Scolopacidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Loxia leucoptera","White-Winged Crossbill","Fringillidae","Birds"
"Scolopax minor","American Woodcock","Scolopacidae","Birds"
"Stercorarius longicaudus","Long-Tailed Skua","Stercorariidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Larus glaucoides","Iceland Gull","Laridae","Birds"
"Zonotrichia albicollis","White-Throated Sparrow","Emberizidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Puffinus gravis","Great Shearwater","Procellariidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Calonectris diomedea","Scopoli's Shearwater","Procellariidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Larus fuscus","Scandinavian Lesser Black-Backed Gull","Laridae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Tringa nebularia","Greenshank","Scolopacidae","Birds"
"Limnodromus griseus","Short-Billed Dowitcher","Scolopacidae","Birds"
"Sterna anaethetus","Bridled Tern","Laridae","Birds"
"Larus marinus","Great Black-Backed Gull","Laridae","Birds"
"Dendroica magnolia","Magnolia Warbler","Parulidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Somateria spectabilis","King Eider","Anatidae","Birds"
"Rissa tridactyla","Kittiwake","Laridae","Birds"
"Dendroica striata","Blackpoll Warbler","Parulidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
