Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Northwest Territories region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Uria lomvia","Brünnich's Guillemot","Alcidae","Birds"
"Dendroica petechia","Yellow Warbler","Parulidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Tringa solitaria","Solitary Sandpiper","Scolopacidae","Birds"
"Myadestes townsendi","Townsend's Solitaire","Turdidae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Gavia pacifica","Pacific Loon","Gaviidae","Birds"
"Picoides arcticus","Black-Backed Woodpecker","Picidae","Birds"
"Larus philadelphia","Bonaparte's Gull","Laridae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Pagophila eburnea","Ivory Gull","Laridae","Birds"
"Parus cinctus","Siberian Tit","Paridae","Birds"
"Tryngites subruficollis","Buff-Breasted Sandpiper","Scolopacidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Tringa flavipes","Lesser Yellow-Legs","Scolopacidae","Birds"
"Aythya valisineria","Canvasback","Anatidae","Birds"
"Grus americana","Whooping Crane","Gruidae","Birds"
"Vermivora celata","Orange-Crowned Warbler","Parulidae","Birds"
"Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Birds"
"Sayornis saya","Say's Phoebe","Tyrannidae","Birds"
"Calidris himantopus","Stilt Sandpiper","Scolopacidae","Birds"
"Catharus minimus","Grey-Cheeked Thrush","Turdidae","Birds"
"Surnia ulula","Northern Hawk Owl","Strigidae","Birds"
"Euphagus carolinus","Rusty Blackbird","Icteridae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Sphyrapicus varius","Yellow-Bellied Sapsucker","Picidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Tachycineta bicolor","Tree Swallow","Hirundinidae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Regulus calendula","Ruby-Crowned Kinglet","Reguliidae","Birds"
"Aphriza virgata","Surfbird","Scolopacidae","Birds"
"Somateria mollissima","Eider","Anatidae","Birds"
"Zonotrichia leucophrys","White-Crowned Sparrow","Emberizidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Lagopus lagopus","Willow Ptarmigan","Phasianidae","Birds"
"Perisoreus canadensis","Grey Jay","Corvidae","Birds"
"Passerella iliaca","Fox Sparrow","Emberizidae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Branta hutchinsii","Cackling Goose","Anatidae","Birds"
"Carduelis pinus","Pine Siskin","Fringillidae","Birds"
"Piranga ludoviciana","Western Tanager","Cardinalidae","Birds"
"Dendragapus obscurus","Dusky Grouse","Phasianidae","Birds"
"Falco rusticolus","Gyr Falcon","Falconidae","Birds"
"Tyrannus tyrannus","Eastern Kingbird","Tyrannidae","Birds"
"Xema sabini","Sabine's Gull","Laridae","Birds"
"Gavia immer","Common Loon","Gaviidae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Plectrophenax nivalis","Snow Bunting","Emberizidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Colaptes auratus","Northern Flicker","Picidae","Birds"
"Parus hudsonicus","Boreal Chickadee","Paridae","Birds"
"Clangula hyemalis","Long-Tailed Duck","Anatidae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Agelaius phoeniceus","Red-Winged Blackbird","Icteridae","Birds"
"Parus atricapillus","Black-Capped Chickadee","Paridae","Birds"
"Fulica americana","American Coot","Rallidae","Birds"
"Aythya americana","Redhead","Anatidae","Birds"
"Picoides dorsalis","American Three-Toed Woodpecker","Picidae","Birds"
"Cygnus buccinator","Trumpeter Swan","Anatidae","Birds"
"Dendroica tigrina","Cape May Warbler","Parulidae","Birds"
"Oxyura jamaicensis","Ruddy Duck","Anatidae","Birds"
"Vireo solitarius","Solitary Vireo","Vireonidae","Birds"
"Chordeiles minor","Common Nighthawk","Caprimulgidae","Birds"
"Cepphus grylle","Black Guillemot","Alcidae","Birds"
