Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Nunavut region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Branta hutchinsii","Cackling Goose","Anatidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Falco rusticolus","Gyr Falcon","Falconidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Xema sabini","Sabine's Gull","Laridae","Birds"
"Gavia immer","Common Loon","Gaviidae","Birds"
"Plectrophenax nivalis","Snow Bunting","Emberizidae","Birds"
"Rissa tridactyla","Kittiwake","Laridae","Birds"
"Somateria spectabilis","King Eider","Anatidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Calidris bairdii","Baird's Sandpiper","Scolopacidae","Birds"
"Gavia pacifica","Pacific Loon","Gaviidae","Birds"
"Lagopus muta","Rock Ptarmigan","Phasianidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Clangula hyemalis","Long-Tailed Duck","Anatidae","Birds"
"Larus thayeri","Thayer's Gull","Laridae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Pagophila eburnea","Ivory Gull","Laridae","Birds"
"Tryngites subruficollis","Buff-Breasted Sandpiper","Scolopacidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Larus glaucoides","Iceland Gull","Laridae","Birds"
"Stercorarius longicaudus","Long-Tailed Skua","Stercorariidae","Birds"
"Phalaropus lobatus","Red-Necked Phalarope","Scolopacidae","Birds"
"Puffinus griseus","Sooty Shearwater","Procellariidae","Birds"
"Charadrius hiaticula","Common Ringed Plover","Charadriidae","Birds"
"Cepphus grylle","Black Guillemot","Alcidae","Birds"
"Carduelis hornemanni","Arctic Redpoll","Fringillidae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Stercorarius parasiticus","Arctic Skua","Stercorariidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Gavia adamsii","White-Billed Diver","Gaviidae","Birds"
"Chen rossii","Ross's Goose","Anatidae","Birds"
"Branta canadensis","Canada Goose","Anatidae","Birds"
"Uria lomvia","Brünnich's Guillemot","Alcidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Calidris melanotos","Pectoral Sandpiper","Scolopacidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Alle alle","Little Auk","Alcidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Rhodostethia rosea","Ross's Gull","Laridae","Birds"
"Alca torda","Razorbill","Alcidae","Birds"
"Somateria mollissima","Eider","Anatidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Lagopus lagopus","Willow Ptarmigan","Phasianidae","Birds"
"Sterna paradisaea","Artic Tern","Laridae","Birds"
"Calidris maritima","Purple Sandpiper","Scolopacidae","Birds"
"Bubo scandiaca","Snowy Owl","Strigidae","Birds"
"Fratercula arctica","Puffin","Alcidae","Birds"
"Stercorarius pomarinus","Pomarine Skua","Stercorariidae","Birds"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Fulmarus glacialis","Fulmar","Procellariidae","Birds"
"Pagophilus groenlandicus","Harp Seal","Phocidae","Mammals"
"Erignathus barbatus","Bearded Seal","Phocidae","Mammals"
"Sorex ugyunak","Barren Ground Shrew","Soricidae","Mammals"
"Balaenoptera physalus","Fin Whale","Balaenopteridae","Mammals"
"Phoca vitulina","Harbour Seal","Phocidae","Mammals"
"Dicrostonyx groenlandicus","Northern Collared Lemming","Cricetidae","Mammals"
"Cystophora cristata","Hooded Seal","Phocidae","Mammals"
"Lepus arcticus","Arctic Hare","Leporidae","Mammals"
"Balaenoptera acutorostrata","Common Minke Whale","Balaenopteridae","Mammals"
"Gulo gulo","Wolverine","Mustelidae","Mammals"
"Monodon monoceros","Narwhal","Monodontidae","Mammals"
"Lontra canadensis","Northern River Otter","Mustelidae","Mammals"
"Orcinus orca","Killer Whale","Delphinidae","Mammals"
"Delphinapterus leucas","Beluga Whale","Monodontidae","Mammals"
"Mustela erminea","Stoat","Mustelidae","Mammals"
"Vulpes vulpes","Red Fox","Canidae","Mammals"
"Vulpes lagopus","Arctic Fox","Canidae","Mammals"
"Rangifer tarandus","Reindeer","Cervidae","Mammals"
"Odobenus rosmarus","Walrus","Odobenidae","Mammals"
"Ovibos moschatus","Muskox","Bovidae","Mammals"
"Physeter macrocephalus","Sperm Whale","Physeteridae","Mammals"
"Ursus maritimus","Polar Bear","Ursidae","Mammals"
"Lemmus trimucronatus","Brown Lemming","Cricetidae","Mammals"
"Ursus arctos","Grizzly Bear","Ursidae","Mammals"
"Phocoena phocoena","Harbour Porpoise","Phocoenidae","Mammals"
"Pusa hispida","Ringed Seal","Phocidae","Mammals"
"Balaena mysticetus","Bowhead Whale","Balaenidae","Mammals"
"Balaenoptera musculus","Blue Whale","Balaenopteridae","Mammals"
"Mustela nivalis","Weasel","Mustelidae","Mammals"
