Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Prince Edward Island region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Oporornis philadelphia","Mourning Warbler","Parulidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Pinicola enucleator","Pine Grosbeak","Fringillidae","Birds"
"Dolichonyx oryzivorus","Bobolink","Icteridae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Melospiza georgiana","Swamp Sparrow","Emberizidae","Birds"
"Quiscalus quiscula","Common Grackle","Icteridae","Birds"
"Phalacrocorax auritus","Double-Crested Cormorant","Phalacrocoracidae","Birds"
"Aix sponsa","Wood Duck","Anatidae","Birds"
"Archilochus colubris","Ruby-Throated Hummingbird","Trochilidae","Birds"
"Caprimulgus vociferus","Whip-Poor-Will","Caprimulgidae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Dendroica fusca","Blackburnian Warbler","Parulidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Spizella arborea","American Tree Sparrow","Emberizidae","Birds"
"Icterus galbula","Baltimore Oriole","Icteridae","Birds"
"Dendroica petechia","Yellow Warbler","Parulidae","Birds"
"Carpodacus mexicanus","House Finch","Fringillidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Tringa solitaria","Solitary Sandpiper","Scolopacidae","Birds"
"Sitta carolinensis","White-Breasted Nuthatch","Sittidae","Birds"
"Pooecetes gramineus","Vesper Sparrow","Emberizidae","Birds"
"Aegolius acadicus","Northern Saw-Whet Owl","Strigidae","Birds"
"Picoides arcticus","Black-Backed Woodpecker","Picidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Dendroica caerulescens","Black-Throated Blue Warbler","Parulidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Catharacta skua","Great Skua","Stercorariidae","Birds"
"Sitta canadensis","Red-Breasted Nuthatch","Sittidae","Birds"
"Tringa flavipes","Lesser Yellow-Legs","Scolopacidae","Birds"
"Puffinus griseus","Sooty Shearwater","Procellariidae","Birds"
"Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Dendroica virens","Black-Throated Green Warbler","Parulidae","Birds"
"Catharus minimus","Grey-Cheeked Thrush","Turdidae","Birds"
"Euphagus carolinus","Rusty Blackbird","Icteridae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Birds"
"Sphyrapicus varius","Yellow-Bellied Sapsucker","Picidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Tachycineta bicolor","Tree Swallow","Hirundinidae","Birds"
"Melospiza melodia","Song Sparrow","Emberizidae","Birds"
"Regulus calendula","Ruby-Crowned Kinglet","Reguliidae","Birds"
"Uria aalge","Guillemot","Alcidae","Birds"
"Somateria mollissima","Eider","Anatidae","Birds"
"Sturnella magna","Eastern Meadowlark","Icteridae","Birds"
"Zonotrichia leucophrys","White-Crowned Sparrow","Emberizidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
