Downloaded from https://mol.org on Jun 20, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Yukon region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Setophaga ruticilla","American Redstart","Parulidae","Birds"
"Strix varia","Barred Owl","Strigidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Vireo gilvus","Warbling Vireo","Vireonidae","Birds"
"Pluvialis dominica","American Golden-Plover","Charadriidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Pica hudsonia","Black-Billed Magpie","Corvidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Bucephala islandica","Barrow's Goldeneye","Anatidae","Birds"
"Tympanuchus phasianellus","Sharp-Tailed Grouse","Phasianidae","Birds"
"Lagopus leucura","White-Tailed Ptarmigan","Phasianidae","Birds"
"Catharus ustulatus","Swainson's Thrush","Turdidae","Birds"
"Empidonax alnorum","Alder Flycatcher","Tyrannidae","Birds"
"Melanitta nigra","Common Scoter","Anatidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Charadrius vociferus","Kildeer","Charadriidae","Birds"
"Larus glaucescens","Glaucous-Winged Gull","Laridae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Ardea herodias","Great Blue Heron","Ardeidae","Birds"
"Stercorarius parasiticus","Arctic Skua","Stercorariidae","Birds"
"Tachycineta thalassina","Violet-Green Swallow","Hirundinidae","Birds"
"Phalaropus fulicarius","Grey Phalarope","Scolopacidae","Birds"
"Regulus satrapa","Golden-Crowned Kinglet","Reguliidae","Birds"
"Bartramia longicauda","Upland Sandpiper","Scolopacidae","Birds"
"Actitis macularius","Spotted Sandpiper","Scolopacidae","Birds"
"Loxia leucoptera","White-Winged Crossbill","Fringillidae","Birds"
"Stercorarius longicaudus","Long-Tailed Skua","Stercorariidae","Birds"
"Porzana carolina","Sora","Rallidae","Birds"
"Sterna aleutica","Aleutian Tern","Laridae","Birds"
"Zonotrichia albicollis","White-Throated Sparrow","Emberizidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Bucephala albeola","Bufflehead","Anatidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Limnodromus griseus","Short-Billed Dowitcher","Scolopacidae","Birds"
"Dendroica magnolia","Magnolia Warbler","Parulidae","Birds"
"Somateria spectabilis","King Eider","Anatidae","Birds"
"Rissa tridactyla","Kittiwake","Laridae","Birds"
"Dendroica striata","Blackpoll Warbler","Parulidae","Birds"
"Wilsonia canadensis","Canada Warbler","Parulidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Megaceryle alcyon","Belted Kingfisher","Alcedinidae","Birds"
"Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Birds"
"Accipiter striatus","Plain-Breasted Hawk","Accipitridae","Birds"
