Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Anhui region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Pucrasia macrolopha","Koklass Pheasant","Phasianidae","Birds"
"Centropus bengalensis","Lesser Coucal","Cuculidae","Birds"
"Anser cygnoides","Swan Goose","Anatidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Enicurus leschenaulti","White-Crowned Forktail","Muscicapidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Bradypterus tacsanowskius","Chinese Bush-Warbler","Sylviidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Urosphena squameiceps","Scaly-Headed Stubtail","Sylviidae","Birds"
"Emberiza fucata","Chestnut-Eared Bunting","Emberizidae","Birds"
"Grus leucogeranus","Siberian Crane","Gruidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Brachypteryx montana","Blue Shortwing","Turdidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Phylloscopus proregulus","Pallas's Leaf Warbler","Sylviidae","Birds"
"Enicurus scouleri","Little Forktail","Muscicapidae","Birds"
"Grus vipio","White-Naped Crane","Gruidae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Remiz consobrinus","Chinese Penduline Tit","Remizidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Rhyacornis fuliginosa","Plumbeous Water Redstart","Muscicapidae","Birds"
"Dicrurus hottentottus","Hair-Crested Drongo","Dicruridae","Birds"
"Calandrella cheleensis","Asian Short-Toed Lark","Alaudidae","Birds"
"Ciconia boyciana","Oriental White Stork","Ciconiidae","Birds"
"Falco amurensis","Amur Falcon","Falconidae","Birds"
"Lanius sphenocercus","Chinese Grey Shrike","Laniidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Grus grus","Common Crane","Gruidae","Birds"
"Lonchura striata","White-Rumped Munia","Estrildidae","Birds"
"Garrulax perspicillatus","Spectacled Laughingthrush","Timaliidae","Birds"
