Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Guangxi region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Gallirallus striatus","Blue-Breasted Banded Rail","Rallidae","Birds"
"Psittacula alexandri","Red-Breasted Parakeet","Psittacidae","Birds"
"Chrysomma sinense","Yellow-Eyed Babbler","Timaliidae","Birds"
"Anthus roseatus","Rosy Pipit","Motacillidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Ictinaetus malayensis","Indian Black Eagle","Accipitridae","Birds"
"Alcippe cinereiceps","Grey-Hooded Fulvetta","Timaliidae","Birds"
"Calidris ruficollis","Red-Necked Stint","Scolopacidae","Birds"
"Phylloscopus claudiae","Claudia's Warbler","Sylviidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Sturnus sericeus","Silky Starling","Sturnidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Alcippe rufogularis","Rufous-Throated Fulvetta","Timaliidae","Birds"
"Emberiza elegans","Yellow-Headed Bunting","Emberizidae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
"Accipiter badius","Shikra","Accipitridae","Birds"
"Turnix suscitator","Barred Buttonquail","Turnicidae","Birds"
"Aquila fasciatus","Bonelli's Eagle","Accipitridae","Birds"
"Rhipidura hypoxantha","Yellow-Bellied Fantail","Rhipiduridae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Dendrocygna javanica","Lesser Whistling-Duck","Anatidae","Birds"
"Accipiter trivirgatus","Crested Goshawk","Accipitridae","Birds"
"Porphyrio porphyrio","Purple Swamphen","Rallidae","Birds"
"Garrulax milnei","Red-Tailed Laughingthrush","Timaliidae","Birds"
"Stachyris nonggangensis","Nonggang Babbler","Timaliidae","Birds"
"Ficedula mugimaki","Mugimaki Flycatcher","Muscicapidae","Birds"
"Cyornis unicolor","Pale Blue-Flycatcher","Muscicapidae","Birds"
"Alcippe poioicephala","Brown-Cheeked Fulvetta","Timaliidae","Birds"
"Microhierax melanoleucos","Pied Falconet","Falconidae","Birds"
"Alcippe dubia","Rusty Capped Fulvetta","Timaliidae","Birds"
"Pericrocotus roseus","Brown-Rumped Minivet","Campephagidae","Birds"
"Dendrocitta formosae","Grey Treepie","Corvidae","Birds"
"Amaurornis phoenicurus","White-Breasted Waterhen","Rallidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Eophona migratoria","Yellow-Billed Grosbeak","Fringillidae","Birds"
"Treron curvirostra","Thick-Billed Pigeon","Columbidae","Birds"
"Hypsipetes mcclellandii","Mountain Bulbul","Pycnonotidae","Birds"
"Mergus squamatus","Chinese Merganser","Anatidae","Birds"
"Cettia canturians","Manchurian Bush Warbler","Sylviidae","Birds"
"Liocichla phoenicea","Red-Faced Liocichla","Timaliidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Alcippe chrysotis","Golden-Breasted Fulvetta","Timaliidae","Birds"
"Phodilus badius","Bay Owl","Tytonidae","Birds"
"Seicercus valentini","Bianchi's Warbler","Sylviidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Ducula aenea","Green Imperial-Pigeon","Columbidae","Birds"
"Anthus rufulus","Paddyfield Pipit","Motacillidae","Birds"
"Mycerobas carnipes","White-Winged Grosbeak","Fringillidae","Birds"
"Garrulax leucolophus","White-Crested Laughingthrush","Timaliidae","Birds"
"Megalaima franklinii","Golden-Throated Barbet","Ramphastidae","Birds"
"Pycnonotus jocosus","Red-Whiskered Bulbul","Pycnonotidae","Birds"
"Paradoxornis davidianus","David's Parrotbill","Timaliidae","Birds"
"Cyanoptila cyanomelana","Blue-And-White Flycatcher","Muscicapidae","Birds"
"Bulweria bulwerii","Bulwer's Petrel","Procellariidae","Birds"
"Circus spilonotus","Eastern Marsh-Harrier","Accipitridae","Birds"
"Seicercus affinis","Allied Flycatcher-Warbler","Sylviidae","Birds"
"Gallinago nemoricola","Wood Snipe","Scolopacidae","Birds"
"Ficedula sapphira","Sapphire-Headed Flycatcher","Muscicapidae","Birds"
"Polyplectron bicalcaratum","Burmese Peacock-Pheasant","Phasianidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Francolinus pintadeanus","Chinese Francolin","Phasianidae","Birds"
"Pnoepyga pusilla","Pygmy Wren-Babbler","Timaliidae","Birds"
"Circus melanoleucos","Pied Harrier","Accipitridae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Delichon nipalense","Nepal House Martin","Hirundinidae","Birds"
"Gallinago megala","Swinhoe's Snipe","Scolopacidae","Birds"
"Riparia paludicola","Plain Martin","Hirundinidae","Birds"
"Pitta elliotii","Bar-Bellied Pitta","Pittidae","Birds"
