Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Guizhou region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Bradypterus tacsanowskius","Chinese Bush-Warbler","Sylviidae","Birds"
"Chelidorhynx hypoxantha","Yellow-Bellied Fantail","Rhipiduridae","Birds"
"Francolinus pintadeanus","Chinese Francolin","Phasianidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Pnoepyga pusilla","Pygmy Wren-Babbler","Timaliidae","Birds"
"Circus melanoleucos","Pied Harrier","Accipitridae","Birds"
"Abroscopus albogularis","Rufous-Faced Warbler","Sylviidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Delichon nipalense","Nepal House Martin","Hirundinidae","Birds"
"Phylloscopus tenellipes","Pale-Legged Leaf-Warbler","Sylviidae","Birds"
"Cettia flavolivacea","Aberrant Bush-Warbler","Sylviidae","Birds"
"Treron apicauda","Pin-Tailed Pigeon","Columbidae","Birds"
"Dendronanthus indicus","Forest Wagtail","Motacillidae","Birds"
"Mycerobas affinis","Allied Grosbeak","Fringillidae","Birds"
"Surniculus lugubris","Drongo Cuckoo","Cuculidae","Birds"
"Bradypterus thoracicus","Spotted Bush-Warbler","Sylviidae","Birds"
"Anthus sylvanus","Upland Pipit","Motacillidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Aegithalos concinnus","Black-Throated Tit","Aegithalidae","Birds"
"Cinclidium leucurum","White-Tailed Robin","Muscicapidae","Birds"
"Cisticola exilis","Gold-Capped Cisticola","Cisticolidae","Birds"
"Aythya nyroca","Ferruginous Pochard","Anatidae","Birds"
"Coturnix japonica","Japanese Quail","Phasianidae","Birds"
"Hemipus picatus","Bar-Winged Flycatcher-Shrike","Campephagidae","Birds"
"Carpodacus nipalensis","Dark-Breasted Rosefinch","Fringillidae","Birds"
"Phylloscopus trochiloides","Greenish Warbler","Sylviidae","Birds"
"Pernis ptilorhyncus","Oriental Honey-Buzzard","Accipitridae","Birds"
"Prinia crinigera","Striated Prinia","Cisticolidae","Birds"
"Pycnonotus aurigaster","Sooty-Headed Bulbul","Pycnonotidae","Birds"
"Butorides striata","Green-Backed Heron","Ardeidae","Birds"
"Bambusicola thoracicus","Chinese Bamboo Partridge","Phasianidae","Birds"
"Chaimarrornis leucocephalus","River Chat","Muscicapidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Halcyon pileata","Black-Capped Kingfisher","Alcedinidae","Birds"
"Garrulax berthemyi","Buffy Laughingthrush","Timaliidae","Birds"
"Chrysococcyx xanthorhynchus","Violet Cuckoo","Cuculidae","Birds"
"Prinia flaviventris","Yellow-Bellied Prinia","Cisticolidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Aethopyga siparaja","Crimson Sunbird","Nectariniidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Sitta nagaensis","Chestnut-Vented Nuthatch","Sittidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Ithaginis cruentus","Blood Pheasant","Phasianidae","Birds"
"Merops philippinus","Blue-Tailed Bee-Eater","Meropidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Aythya baeri","Baer's Pochard","Anatidae","Birds"
"Latoucheornis siemsseni","Slaty Bunting","Emberizidae","Birds"
"Aegithalos iouschistos","Black-Browed Tit","Aegithalidae","Birds"
"Carpodacus rubescens","Blanford's Rosefinch","Fringillidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Artamus fuscus","Ashy Woodswallow","Artamidae","Birds"
"Pteruthius flaviscapis","White-Browed Shrike-Babbler","Timaliidae","Birds"
"Emberiza tristrami","Tristram's Bunting","Emberizidae","Birds"
"Phoenicurus auroreus","Daurian Redstart","Muscicapidae","Birds"
"Picus flavinucha","Greater Yellow-Naped Woodpecker","Picidae","Birds"
"Tetraophasis obscurus","Verreaux's Monal Partridge","Phasianidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Lophura nycthemera","Silver Pheasant","Phasianidae","Birds"
"Falco severus","Oriental Hobby","Falconidae","Birds"
"Trichastoma tickelli","Buff Breasted Babbler","Timaliidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Erpornis zantholeuca","White Bellied Yuhina","Timaliidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Pteruthius aenobarbus","Chestnut-Fronted Shrike-Babbler","Timaliidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Culicicapa ceylonensis","Grey-Headed Canary-Flycatcher","Muscicapidae","Birds"
