Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Hainan region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Stigmatopelia chinensis","Spotted Dove","Columbidae","Birds"
"Ducula aenea","Green Imperial-Pigeon","Columbidae","Birds"
"Temnurus temnurus","Ratched-Tailed Treepie","Corvidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Pericrocotus solaris","Grey-Chinned Minivet","Campephagidae","Birds"
"Zoothera sibirica","Siberian Thrush","Turdidae","Birds"
"Ixobrychus flavicollis","Black Bittern","Ardeidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Copsychus malabaricus","White-Rumped Shama","Muscicapidae","Birds"
"Sula leucogaster","Brown Booby","Sulidae","Birds"
"Sterna sumatrana","Black-Naped Tern","Laridae","Birds"
"Cuculus poliocephalus","Lesser Cuckoo","Cuculidae","Birds"
"Pomatorhinus ruficollis","Streak-Breasted Scimitar-Babbler","Timaliidae","Birds"
"Dicrurus aeneus","Bronzed Drongo","Dicruridae","Birds"
"Macropygia unchall","Bar-Tailed Cuckoo-Dove","Columbidae","Birds"
"Nettapus coromandelianus","Cotton Pygmy-Goose","Anatidae","Birds"
"Coracina melaschistos","Black-Winged Cuckoo-Shrike","Campephagidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Hirundapus cochinchinensis","White-Vented Needletail","Apodidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Glareola maldivarum","Oriental Pratincole","Glareolidae","Birds"
"Caprimulgus indicus","Jungle Nightjar","Caprimulgidae","Birds"
"Lanius cristatus","Brown Shrike","Laniidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Treron sphenurus","Wedge Tailed Green Pigeon","Columbidae","Birds"
"Collocalia germani","German's Swiftlet","Apodidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Ixobrychus cinnamomeus","Cinnamon Bittern","Ardeidae","Birds"
"Centropus bengalensis","Lesser Coucal","Cuculidae","Birds"
"Enicurus leschenaulti","White-Crowned Forktail","Muscicapidae","Birds"
"Calidris ferruginea","Curlew Sandpiper","Scolopacidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Bradypterus tacsanowskius","Chinese Bush-Warbler","Sylviidae","Birds"
"Urosphena squameiceps","Scaly-Headed Stubtail","Sylviidae","Birds"
"Lonchura malacca","Black-Headed Munia","Estrildidae","Birds"
"Ducula badia","Mountain Imperial-Pigeon","Columbidae","Birds"
"Emberiza fucata","Chestnut-Eared Bunting","Emberizidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Brachypteryx montana","Blue Shortwing","Turdidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Enicurus scouleri","Little Forktail","Muscicapidae","Birds"
"Emberiza aureola","Yellow-Breasted Bunting","Emberizidae","Birds"
"Rhyacornis fuliginosa","Plumbeous Water Redstart","Muscicapidae","Birds"
"Calonectris leucomelas","Streaked Shearwater","Procellariidae","Birds"
"Tringa glareola","Wood Sandpiper","Scolopacidae","Birds"
"Fregata ariel","Lesser Frigatebird","Fregatidae","Birds"
"Dicaeum cruentatum","Scarlet-Backed Flowerpecker","Dicaeidae","Birds"
"Hypothymis azurea","Black-Naped Monarch","Monarchidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Grus grus","Common Crane","Gruidae","Birds"
"Serilophus lunatus","Silver-Breasted Broadbill","Eurylaimidae","Birds"
"Amandava amandava","Red Munia","Estrildidae","Birds"
"Chalcophaps indica","Emerald Dove","Columbidae","Birds"
"Lonchura striata","White-Rumped Munia","Estrildidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Gallicrex cinerea","Watercock","Rallidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Streptopelia tranquebarica","Red-Collared Dove","Columbidae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Gorsachius melanolophus","Malayan Night-Heron","Ardeidae","Birds"
"Calidris ruficollis","Red-Necked Stint","Scolopacidae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Psittacula alexandri","Red-Breasted Parakeet","Psittacidae","Birds"
"Gallirallus striatus","Blue-Breasted Banded Rail","Rallidae","Birds"
"Accipiter soloensis","Chinese Goshawk","Accipitridae","Birds"
"Celeus brachyurus","Rufous Woodpecker","Picidae","Birds"
"Megaceryle lugubris","Crested Kingfisher","Alcedinidae","Birds"
"Caprimulgus affinis","Savanna Nightjar","Caprimulgidae","Birds"
"Zoothera citrina","Orange-Headed Thrush","Turdidae","Birds"
"Corvus macrorhynchos","Large-Billed Crow","Corvidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Dicaeum concolor","Plain Flowerpecker","Dicaeidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Graminicola bengalensis","Rufous-Rumped Grassbird","Sylviidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Cyornis hainanus","Grant's Niltava","Muscicapidae","Birds"
"Sitta solangiae","Lilac Nuthatch","Sittidae","Birds"
"Megalaima faber","Chinese Barbet","Ramphastidae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Prinia inornata","Plain Prinia","Cisticolidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Aviceda jerdoni","Jerdon's Baza","Accipitridae","Birds"
"Picumnus innominatus","Speckled Piculet","Picidae","Birds"
"Stachyris striolata","Spot-Necked Babbler","Timaliidae","Birds"
"Egretta eulophotes","Swinhoe's Egret","Ardeidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Cuculus sparverioides","Large Hawk-Cuckoo","Cuculidae","Birds"
"Anthus hodgsoni","Olive-Backed Pipit","Motacillidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Alcippe morrisonia","Grey-Cheeked Fulvetta","Timaliidae","Birds"
"Lonchura punctulata","Nutmeg Munia","Estrildidae","Birds"
"Lanius schach","Long-Tailed Shrike","Laniidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Harpactes erythrocephalus","Red-Headed Trogon","Trogonidae","Birds"
"Egretta sacra","Pacific Reef-Egret","Ardeidae","Birds"
"Pomatorhinus hypoleucos","Large Scimitar-Babbler","Timaliidae","Birds"
"Picus chlorolophus","Lesser Yellownape","Picidae","Birds"
"Larus brunnicephalus","Brown-Headed Gull","Laridae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Apus nipalensis","House Swift","Apodidae","Birds"
"Muscicapa sibirica","Siberian Flycatcher","Muscicapidae","Birds"
"Pericrocotus flammeus","Scarlet Minivet","Campephagidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Anas falcata","Falcated Duck","Anatidae","Birds"
"Turdus chrysolaus","Red-Billed Thrush","Turdidae","Birds"
"Ninox scutulata","Brown Hawk-Owl","Strigidae","Birds"
"Stachyris ruficeps","Rufous-Capped Babbler","Timaliidae","Birds"
"Lophotriorchis kienerii","Rufous-Bellied Eagle","Accipitridae","Birds"
"Phalacrocorax fuscicollis","Indian Cormorant","Phalacrocoracidae","Birds"
"Paradoxornis gularis","Grey-Headed Parrotbill","Timaliidae","Birds"
"Garrulax chinensis","Black-Throated Laughingthrush","Timaliidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Columba punicea","Pale-Capped Pigeon","Columbidae","Birds"
"Turdus cardis","Japanese Thrush","Turdidae","Birds"
"Blythipicus pyrrhotis","Bay Woodpecker","Picidae","Birds"
"Sturnus sinensis","White-Shouldered Starling","Sturnidae","Birds"
"Mesophoyx intermedia","Intermediate Egret","Ardeidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Oriolus traillii","Maroon Oriole","Oriolidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Clamator coromandus","Chestnut-Winged Cuckoo","Cuculidae","Birds"
"Minla cyanouroptera","Blue-Winged Minla","Timaliidae","Birds"
"Cacomantis merulinus","Grey-Bellied Cuckoo","Cuculidae","Birds"
"Anthus cervinus","Red-Throated Pipit","Motacillidae","Birds"
"Spilornis cheela","Crested Serpent-Eagle","Accipitridae","Birds"
"Merops viridis","Chestnut-Headed Bee-Eater(S.3294)","Meropidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Pteruthius aenobarbus","Chestnut-Fronted Shrike-Babbler","Timaliidae","Birds"
"Erpornis zantholeuca","White Bellied Yuhina","Timaliidae","Birds"
"Garrulax canorus","Melodious Laughingthrush","Timaliidae","Birds"
"Aviceda leuphotes","Black Baza","Accipitridae","Birds"
"Larus saundersi","Saunder's Gull","Laridae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Calidris subminuta","Long-Toed Stint","Scolopacidae","Birds"
"Accipiter gularis","Japanese Sparrowhawk","Accipitridae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Esacus recurvirostris","Great Stone-Plover","Burhinidae","Birds"
"Corvus torquatus","Collared Crow","Corvidae","Birds"
"Turdus obscurus","Eyebrowed Thrush","Turdidae","Birds"
"Halcyon smyrnensis","White-Throated Kingfisher","Alcedinidae","Birds"
"Copsychus saularis","Oriental Magpie-Robin","Muscicapidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Luscinia sibilans","Rufous-Tailed Robin","Muscicapidae","Birds"
"Muscicapa ferruginea","Ferruginous Flycatcher","Muscicapidae","Birds"
"Cuculus micropterus","Short-Winged Cuckoo","Cuculidae","Birds"
"Dicaeum ignipectus","Green-Backed Flowerpecker","Dicaeidae","Birds"
"Melanochlora sultanea","Sultan Tit","Paridae","Birds"
"Turnix sylvaticus","Small Buttonquail","Turnicidae","Birds"
"Glaucidium brodiei","Collared Owlet","Strigidae","Birds"
"Garrulax pectoralis","Greater Necklaced Laughingthrush","Timaliidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Oriolus chinensis","Black-Naped Oriole","Oriolidae","Birds"
"Niltava davidi","Fukien Niltava","Muscicapidae","Birds"
"Ceryle rudis","Pied Kingfisher","Alcedinidae","Birds"
"Muscicapa dauurica","Asian Brown Flycatcher","Muscicapidae","Birds"
"Cissa hypoleuca","Yellow Breasted Magpie","Corvidae","Birds"
"Ficedula albicilla","Taiga Flycatcher","Muscicapidae","Birds"
"Ficedula narcissina","Narcissus Flycatcher","Muscicapidae","Birds"
"Gracula religiosa","Southern Grackle","Sturnidae","Birds"
"Platalea minor","Black-Faced Spoonbill","Threskiornithidae","Birds"
"Accipiter virgatus","Besra","Accipitridae","Birds"
"Turdus naumanni","Dusky Thrush","Turdidae","Birds"
"Alauda gulgula","Oriental Skylark","Alaudidae","Birds"
"Anthus richardi","Richard's Pipit","Motacillidae","Birds"
