Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Hebei region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Pucrasia macrolopha","Koklass Pheasant","Phasianidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Accipiter gularis","Japanese Sparrowhawk","Accipitridae","Birds"
"Porzana fusca","Ruddy-Breasted Crake","Rallidae","Birds"
"Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Larus saundersi","Saunder's Gull","Laridae","Birds"
"Motacilla citreola","Citrine Wagtail","Motacillidae","Birds"
"Brachyramphus perdix","Long-Billed Murrelet","Alcidae","Birds"
"Turdus hortulorum","Grey-Backed Thrush","Turdidae","Birds"
"Paradoxornis webbianus","Brown-Winged Parrotbill","Timaliidae","Birds"
"Zosterops erythropleurus","Chestnut-Flanked White-Eye","Zosteropidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Clamator coromandus","Chestnut-Winged Cuckoo","Cuculidae","Birds"
"Apus pacificus","Fork-Tailed Swift","Apodidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Rhopophilus pekinensis","White-Browed Chinese Warbler","Cisticolidae","Birds"
"Haliaeetus leucoryphus","Pallas Sea-Eagle","Accipitridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Oenanthe isabellina","Isabelline Wheatear","Muscicapidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Ninox scutulata","Brown Hawk-Owl","Strigidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclididae","Birds"
"Anas falcata","Falcated Duck","Anatidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Charadrius placidus","Long-Billed Plover","Charadriidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Muscicapa sibirica","Siberian Flycatcher","Muscicapidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Ficedula zanthopygia","Yellow-Rumped Flycatcher","Muscicapidae","Birds"
"Lanius tigrinus","Tiger Shrike","Laniidae","Birds"
"Aquila nipalensis","Steppe Eagle","Accipitridae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Passer rutilans","Cinnamon Sparrow","Passeridae","Birds"
"Locustella ochotensis","Middendorff's Warbler","Sylviidae","Birds"
"Crossoptilon mantchuricum","Brown Eared-Pheasant","Phasianidae","Birds"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Lanius bucephalus","Bull-Headed Shrike","Laniidae","Birds"
"Anas formosa","Baikal Teal","Anatidae","Birds"
"Sturnus cineraceus","Grey Starling","Sturnidae","Birds"
"Pericrocotus divaricatus","Ashy Minivet","Campephagidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Dicrurus leucophaeus","Ashy Drongo","Dicruridae","Birds"
"Carduelis sinica","Oriental Greenfinch","Fringillidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Urocissa erythrorhyncha","Red-Billed Blue Magpie","Corvidae","Birds"
"Phylloscopus reguloides","Blyth's Leaf-Warbler","Sylviidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Pycnonotus sinensis","Chinese Bulbul","Pycnonotidae","Birds"
"Hirundapus caudacutus","White-Throated Needletail","Apodidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Ardeola bacchus","Chinese Pond-Heron","Ardeidae","Birds"
"Parus venustulus","Yellow-Bellied Tit","Paridae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Grus japonensis","Red-Crowned Crane","Gruidae","Birds"
"Locustella lanceolata","Lanceolated Warbler","Sylviidae","Birds"
"Acrocephalus sorghophilus","Speckled Reed-Warbler","Sylviidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Butastur indicus","Grey-Faced Buzzard","Accipitridae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Turnix tanki","Yellow-Legged Buttonquail","Turnicidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
"Delichon dasypus","Asian House Martin","Hirundinidae","Birds"
"Alectoris chukar","Chukar","Phasianidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Turdus feae","Grey-Sided Thrush","Turdidae","Birds"
"Anas zonorhyncha","Eastern Spot-Billed Duck","Anatidae","Birds"
"Zosterops japonicus","Japanese White-Eye","Zosteropidae","Birds"
"Threskiornis melanocephalus","Oriental Ibis","Threskiornithidae","Birds"
"Ketupa blakistoni","Blakiston's Fish-Owl","Strigidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Ixobrychus cinnamomeus","Cinnamon Bittern","Ardeidae","Birds"
"Syrmaticus reevesii","Reeves's Pheasant","Phasianidae","Birds"
"Locustella pryeri","Marsh Grassbird","Sylviidae","Birds"
"Cyanoptila cyanomelana","Blue-And-White Flycatcher","Muscicapidae","Birds"
"Circus spilonotus","Eastern Marsh-Harrier","Accipitridae","Birds"
"Anser cygnoides","Swan Goose","Anatidae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Cuculus optatus","Oriental Cuckoo","Cuculidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Bradypterus tacsanowskius","Chinese Bush-Warbler","Sylviidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Urosphena squameiceps","Scaly-Headed Stubtail","Sylviidae","Birds"
"Emberiza fucata","Chestnut-Eared Bunting","Emberizidae","Birds"
"Montifringilla davidiana","Small Snowfinch","Passeridae","Birds"
"Carpodacus roseus","Pallas's Rosefinch","Fringillidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Phylloscopus proregulus","Pallas's Leaf Warbler","Sylviidae","Birds"
