Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Heilongjiang region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Aegypius monachus","Monk Vulture","Accipitridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Zoothera dauma","Scaly Thrush","Turdidae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Gallinago solitaria","Solitary Snipe","Scolopacidae","Birds"
"Anas poecilorhyncha","Spot-Billed Duck","Anatidae","Birds"
"Egretta eulophotes","Swinhoe's Egret","Ardeidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Melanocorypha mongolica","Mongolian Lark","Alaudidae","Birds"
"Corvus dauuricus","Daurian Jackdaw","Corvidae","Birds"
"Anthus hodgsoni","Olive-Backed Pipit","Motacillidae","Birds"
"Loxia leucoptera","White-Winged Crossbill","Fringillidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Tadorna cristata","Crested Shelduck","Anatidae","Birds"
"Lanius cristatus","Brown Shrike","Laniidae","Birds"
"Caprimulgus indicus","Jungle Nightjar","Caprimulgidae","Birds"
"Glareola maldivarum","Oriental Pratincole","Glareolidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Pinicola enucleator","Pine Grosbeak","Fringillidae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Emberiza rustica","Rustic Bunting","Emberizidae","Birds"
"Emberiza rutila","Chestnut Bunting","Emberizidae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Cyanopica cyanus","Azure-Winged Magpie","Corvidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Coturnicops exquisitus","Swinhoe's Rail","Rallidae","Birds"
"Phalacrocorax capillatus","Japanese Cormorant","Phalacrocoracidae","Birds"
"Cuculus poliocephalus","Lesser Cuckoo","Cuculidae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Zoothera sibirica","Siberian Thrush","Turdidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Glaucidium passerinum","Eurasian Pygmy-Owl","Strigidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Calidris acuminata","Sharp-Tailed Sandpiper","Scolopacidae","Birds"
"Otus bakkamoena","Collared Scops Owl","Strigidae","Birds"
"Emberiza yessoensis","Japanese Reed Bunting","Emberizidae","Birds"
"Mergus squamatus","Chinese Merganser","Anatidae","Birds"
"Eophona migratoria","Yellow-Billed Grosbeak","Fringillidae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Grus virgo","Demoiselle Crane","Gruidae","Birds"
"Larus schistisagus","Slaty-Backed Gull","Laridae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Perdix dauurica","Daurian Partridge","Phasianidae","Birds"
"Porzana paykullii","Band-Bellied Crake","Rallidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Ficedula mugimaki","Mugimaki Flycatcher","Muscicapidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Phylloscopus schwarzi","Radde's Warbler","Sylviidae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
"Phylloscopus coronatus","Temminck's Crowned Warbler","Sylviidae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Grus monacha","Hooded Crane","Gruidae","Birds"
"Emberiza elegans","Yellow-Headed Bunting","Emberizidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Surnia ulula","Northern Hawk Owl","Strigidae","Birds"
"Otus sunia","Oriental Scops Owl","Strigidae","Birds"
"Rostratula benghalensis","Painted-Snipe","Rostratulidae","Birds"
"Ixobrychus sinensis","Yellow Bittern","Ardeidae","Birds"
"Otus lettia","Collared Scops Owl","Strigidae","Birds"
"Haliaeetus pelagicus","Steller's Sea-Eagle","Accipitridae","Birds"
