Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Henan region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Garrulax canorus","Melodious Laughingthrush","Timaliidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Phylloscopus claudiae","Claudia's Warbler","Sylviidae","Birds"
"Alcippe cinereiceps","Grey-Hooded Fulvetta","Timaliidae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Anthus roseatus","Rosy Pipit","Motacillidae","Birds"
"Accipiter soloensis","Chinese Goshawk","Accipitridae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Megaceryle lugubris","Crested Kingfisher","Alcedinidae","Birds"
"Zoothera citrina","Orange-Headed Thrush","Turdidae","Birds"
"Corvus macrorhynchos","Large-Billed Crow","Corvidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Paradoxornis guttaticollis","Spot-Breasted Parrotbill","Timaliidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Pyrrhocorax pyrrhocorax","Red-Billed Chough","Corvidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Prinia inornata","Plain Prinia","Cisticolidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Picumnus innominatus","Speckled Piculet","Picidae","Birds"
"Anas poecilorhyncha","Spot-Billed Duck","Anatidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Melanocorypha mongolica","Mongolian Lark","Alaudidae","Birds"
"Corvus dauuricus","Daurian Jackdaw","Corvidae","Birds"
