Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Hunan region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Garrulax albogularis","White-Throated Laughingthrush","Timaliidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Spizixos semitorques","Collared Finchbill","Pycnonotidae","Birds"
"Ixobrychus flavicollis","Black Bittern","Ardeidae","Birds"
"Phoenicurus hodgsoni","Hodgson's Redstart","Muscicapidae","Birds"
"Grus nigricollis","Black-Necked Crane","Gruidae","Birds"
"Pericrocotus solaris","Grey-Chinned Minivet","Campephagidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Stigmatopelia chinensis","Spotted Dove","Columbidae","Birds"
"Chrysolophus pictus","Golden Pheasant","Phasianidae","Birds"
"Chrysococcyx maculatus","Asian Emerald Cuckoo","Cuculidae","Birds"
"Otus bakkamoena","Collared Scops Owl","Strigidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Tyto longimembris","Eastern Grass Owl","Tytonidae","Birds"
"Monticola rufiventris","Chestnut-Bellied Rock-Thrush","Muscicapidae","Birds"
"Prinia atrogularis","Hill Prinia","Cisticolidae","Birds"
"Rhinomyias brunneatus","Brown-Chested Jungle-Flycatcher","Muscicapidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Spelaeornis troglodytoides","Bar-Winged Wren-Babbler","Timaliidae","Birds"
"Phylloscopus armandii","Yellow-Streaked Warbler","Sylviidae","Birds"
"Arborophila gingica","Rickett's Hill-Partridge","Phasianidae","Birds"
"Porzana paykullii","Band-Bellied Crake","Rallidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Ficedula hyperythra","Snowy-Browed Flycatcher","Muscicapidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Columba leuconota","Snow Pigeon","Columbidae","Birds"
"Lanius collurioides","Burmese Shrike","Laniidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Tragopan caboti","Cabot's Tragopan","Phasianidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Garrulax formosus","Crimson-Winged Laughingthrush","Timaliidae","Birds"
"Phylloscopus schwarzi","Radde's Warbler","Sylviidae","Birds"
"Phylloscopus goodsoni","Hartert's Warbler","Sylviidae","Birds"
"Phaenicophaeus tristis","Green-Billed Malkoha","Cuculidae","Birds"
"Phylloscopus coronatus","Temminck's Crowned Warbler","Sylviidae","Birds"
"Coracina macei","Javan Cuckoo-Shrike","Campephagidae","Birds"
"Grus monacha","Hooded Crane","Gruidae","Birds"
"Centropus sinensis","Common Coucal","Cuculidae","Birds"
