Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Jiangsu region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Emberiza rustica","Rustic Bunting","Emberizidae","Birds"
"Pycnonotus xanthorrhous","Anderson's Bulbul","Pycnonotidae","Birds"
"Coracina melaschistos","Black-Winged Cuckoo-Shrike","Campephagidae","Birds"
"Nettapus coromandelianus","Cotton Pygmy-Goose","Anatidae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Cyanopica cyanus","Azure-Winged Magpie","Corvidae","Birds"
"Phalacrocorax capillatus","Japanese Cormorant","Phalacrocoracidae","Birds"
"Cuculus poliocephalus","Lesser Cuckoo","Cuculidae","Birds"
"Syrmaticus ellioti","Elliot's Pheasant","Phasianidae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Spizixos semitorques","Collared Finchbill","Pycnonotidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Ixobrychus flavicollis","Black Bittern","Ardeidae","Birds"
"Zoothera sibirica","Siberian Thrush","Turdidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Ducula aenea","Green Imperial-Pigeon","Columbidae","Birds"
"Stigmatopelia chinensis","Spotted Dove","Columbidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Calidris acuminata","Sharp-Tailed Sandpiper","Scolopacidae","Birds"
"Otus bakkamoena","Collared Scops Owl","Strigidae","Birds"
"Bubulcus ibis","Cattle Egret","Ardeidae","Birds"
"Emberiza yessoensis","Japanese Reed Bunting","Emberizidae","Birds"
"Cettia canturians","Manchurian Bush Warbler","Sylviidae","Birds"
"Tyto longimembris","Eastern Grass Owl","Tytonidae","Birds"
"Mergus squamatus","Chinese Merganser","Anatidae","Birds"
"Eophona migratoria","Yellow-Billed Grosbeak","Fringillidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Rhinomyias brunneatus","Brown-Chested Jungle-Flycatcher","Muscicapidae","Birds"
"Amaurornis phoenicurus","White-Breasted Waterhen","Rallidae","Birds"
"Dendrocitta formosae","Grey Treepie","Corvidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Microhierax melanoleucos","Pied Falconet","Falconidae","Birds"
"Phylloscopus armandii","Yellow-Streaked Warbler","Sylviidae","Birds"
"Perdix dauurica","Daurian Partridge","Phasianidae","Birds"
"Porzana paykullii","Band-Bellied Crake","Rallidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Dendrocygna javanica","Lesser Whistling-Duck","Anatidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Ibidorhyncha struthersii","Ibisbill","Ibidorhynchidae","Birds"
"Aquila fasciatus","Bonelli's Eagle","Accipitridae","Birds"
"Phylloscopus schwarzi","Radde's Warbler","Sylviidae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
