Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Jilin region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Hirundapus caudacutus","White-Throated Needletail","Apodidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Muscicapa griseisticta","Grey-Streaked Flycatcher","Muscicapidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Urocissa erythrorhyncha","Red-Billed Blue Magpie","Corvidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Emberiza elegans","Yellow-Headed Bunting","Emberizidae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Phylloscopus coronatus","Temminck's Crowned Warbler","Sylviidae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
"Phylloscopus schwarzi","Radde's Warbler","Sylviidae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Ficedula mugimaki","Mugimaki Flycatcher","Muscicapidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Porzana paykullii","Band-Bellied Crake","Rallidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Tringa stagnatilis","Marsh Sandpiper","Scolopacidae","Birds"
"Halcyon coromanda","Ruddy Kingfisher","Alcedinidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Emberiza aureola","Yellow-Breasted Bunting","Emberizidae","Birds"
"Calonectris leucomelas","Streaked Shearwater","Procellariidae","Birds"
"Calandrella cheleensis","Asian Short-Toed Lark","Alaudidae","Birds"
"Ciconia boyciana","Oriental White Stork","Ciconiidae","Birds"
"Falco amurensis","Amur Falcon","Falconidae","Birds"
"Lanius sphenocercus","Chinese Grey Shrike","Laniidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Gallinago hardwickii","Latham's Snipe","Scolopacidae","Birds"
