Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Macao region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Rhyacornis fuliginosa","Plumbeous Water Redstart","Muscicapidae","Birds"
"Calonectris leucomelas","Streaked Shearwater","Procellariidae","Birds"
"Tringa glareola","Wood Sandpiper","Scolopacidae","Birds"
"Dicrurus hottentottus","Hair-Crested Drongo","Dicruridae","Birds"
"Ciconia boyciana","Oriental White Stork","Ciconiidae","Birds"
"Fregata ariel","Lesser Frigatebird","Fregatidae","Birds"
"Dicaeum cruentatum","Scarlet-Backed Flowerpecker","Dicaeidae","Birds"
"Hypothymis azurea","Black-Naped Monarch","Monarchidae","Birds"
"Falco amurensis","Amur Falcon","Falconidae","Birds"
"Lanius sphenocercus","Chinese Grey Shrike","Laniidae","Birds"
"Pyrrhula nipalensis","Brown Bullfinch","Fringillidae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Grus grus","Common Crane","Gruidae","Birds"
"Phalacrocorax niger","Javanese Cormorant","Phalacrocoracidae","Birds"
"Chalcophaps indica","Emerald Dove","Columbidae","Birds"
"Lonchura striata","White-Rumped Munia","Estrildidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Gallicrex cinerea","Watercock","Rallidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Streptopelia tranquebarica","Red-Collared Dove","Columbidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Calidris ruficollis","Red-Necked Stint","Scolopacidae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Chrysomma sinense","Yellow-Eyed Babbler","Timaliidae","Birds"
"Psittacula alexandri","Red-Breasted Parakeet","Psittacidae","Birds"
"Gallirallus striatus","Blue-Breasted Banded Rail","Rallidae","Birds"
"Accipiter soloensis","Chinese Goshawk","Accipitridae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Celeus brachyurus","Rufous Woodpecker","Picidae","Birds"
"Megaceryle lugubris","Crested Kingfisher","Alcedinidae","Birds"
"Caprimulgus affinis","Savanna Nightjar","Caprimulgidae","Birds"
"Corvus macrorhynchos","Large-Billed Crow","Corvidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Dicaeum concolor","Plain Flowerpecker","Dicaeidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Graminicola bengalensis","Rufous-Rumped Grassbird","Sylviidae","Birds"
"Emberiza pusilla","Little Bunting","Emberizidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Zoothera dauma","Scaly Thrush","Turdidae","Birds"
"Cyornis hainanus","Grant's Niltava","Muscicapidae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Prinia inornata","Plain Prinia","Cisticolidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Picumnus innominatus","Speckled Piculet","Picidae","Birds"
"Gallinago solitaria","Solitary Snipe","Scolopacidae","Birds"
"Anas poecilorhyncha","Spot-Billed Duck","Anatidae","Birds"
"Egretta eulophotes","Swinhoe's Egret","Ardeidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Bradypterus luteoventris","Brown Bush-Warbler","Sylviidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Cuculus sparverioides","Large Hawk-Cuckoo","Cuculidae","Birds"
"Anthus hodgsoni","Olive-Backed Pipit","Motacillidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Alcippe morrisonia","Grey-Cheeked Fulvetta","Timaliidae","Birds"
"Pitta nympha","Fairy Pitta","Pittidae","Birds"
"Lonchura punctulata","Nutmeg Munia","Estrildidae","Birds"
"Lanius schach","Long-Tailed Shrike","Laniidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Phylloscopus yunnanensis","Chinese Leaf Warbler","Sylviidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Pericrocotus brevirostris","Short-Billed Minivet","Campephagidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Pericrocotus cantonensis","Brown-Rumped Minivet","Campephagidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Lanius cristatus","Brown Shrike","Laniidae","Birds"
"Caprimulgus indicus","Jungle Nightjar","Caprimulgidae","Birds"
"Glareola maldivarum","Oriental Pratincole","Glareolidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Myophonus caeruleus","Himalayan Whistling-Thrush","Turdidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Emberiza rutila","Chestnut Bunting","Emberizidae","Birds"
"Coracina melaschistos","Black-Winged Cuckoo-Shrike","Campephagidae","Birds"
"Nettapus coromandelianus","Cotton Pygmy-Goose","Anatidae","Birds"
"Macropygia unchall","Bar-Tailed Cuckoo-Dove","Columbidae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Coturnicops exquisitus","Swinhoe's Rail","Rallidae","Birds"
"Cuculus poliocephalus","Lesser Cuckoo","Cuculidae","Birds"
"Sterna sumatrana","Black-Naped Tern","Laridae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Spizixos semitorques","Collared Finchbill","Pycnonotidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Ixobrychus flavicollis","Black Bittern","Ardeidae","Birds"
"Zoothera sibirica","Siberian Thrush","Turdidae","Birds"
"Pericrocotus solaris","Grey-Chinned Minivet","Campephagidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Ducula aenea","Green Imperial-Pigeon","Columbidae","Birds"
"Stigmatopelia chinensis","Spotted Dove","Columbidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
