Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Ningxia Hui region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Alectoris magna","Przewalski's Partridge","Phasianidae","Birds"
"Lanius isabellinus","Isabelline Shrike","Laniidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Ficedula strophiata","Orange-Gorgetted Flycatcher","Muscicapidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Cettia diphone","Japanese Bush-Warbler","Sylviidae","Birds"
"Pomatorhinus gravivox","Black Streaked Scimitar Babbler","Timaliidae","Birds"
"Melanocorypha maxima","Long-Billed Calandra Lark","Alaudidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Motacilla citreola","Citrine Wagtail","Motacillidae","Birds"
"Paradoxornis webbianus","Brown-Winged Parrotbill","Timaliidae","Birds"
"Zosterops erythropleurus","Chestnut-Flanked White-Eye","Zosteropidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Tetraogallus himalayensis","Himalayan Snowcock","Phasianidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Culicicapa ceylonensis","Grey-Headed Canary-Flycatcher","Muscicapidae","Birds"
"Tetraogallus tibetanus","Tibetan Snowcock","Phasianidae","Birds"
"Carpodacus thura","White-Browed Rosefinch","Fringillidae","Birds"
"Clamator coromandus","Chestnut-Winged Cuckoo","Cuculidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Garrulax ocellatus","White-Spotted Laughingthrush","Timaliidae","Birds"
"Apus pacificus","Fork-Tailed Swift","Apodidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Rhopophilus pekinensis","White-Browed Chinese Warbler","Cisticolidae","Birds"
"Phylloscopus magnirostris","Large-Billed Leaf-Warbler","Sylviidae","Birds"
"Calandrella acutirostris","Hume's Lark","Alaudidae","Birds"
"Lanius tephronotus","Grey-Backed Shrike","Laniidae","Birds"
"Leiothrix lutea","Pekin Robin","Timaliidae","Birds"
"Haliaeetus leucoryphus","Pallas Sea-Eagle","Accipitridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Oenanthe isabellina","Isabelline Wheatear","Muscicapidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Carpodacus rubicilloides","Eastern Great Rosefinch","Fringillidae","Birds"
"Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclididae","Birds"
"Anas falcata","Falcated Duck","Anatidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Charadrius placidus","Long-Billed Plover","Charadriidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Ficedula zanthopygia","Yellow-Rumped Flycatcher","Muscicapidae","Birds"
"Rhodopechys obsoletus","Desert Finch","Fringillidae","Birds"
"Aquila nipalensis","Steppe Eagle","Accipitridae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
