Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Qinghai region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Paradoxornis conspicillatus","Spectacled Parrotbill","Timaliidae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Anser indicus","Bar-Headed Goose","Anatidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Montifringilla adamsi","Adams' Snowfinch","Passeridae","Birds"
"Glaucidium cuculoides","Cuckoo Owlet","Strigidae","Birds"
"Cettia major","Large Bush-Warbler","Sylviidae","Birds"
"Larus ichthyaetus","Pallas's Gull","Laridae","Birds"
"Buteo rufinus","Long-Legged Buzzard","Accipitridae","Birds"
"Perdix hodgsoniae","Tibetan Partridge","Phasianidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Dendrocopos hyperythrus","Rufous-Bellied Woodpecker","Picidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Crossoptilon auritum","Blue Eared-Pheasant","Phasianidae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Carpodacus synoicus","Pale Rosefinch","Fringillidae","Birds"
"Otis tarda","Great Bustard","Otididae","Birds"
"Eremopsaltria mongolicus","Mongolian Finch","Fringillidae","Birds"
"Pinicola subhimachala","Crimson-Browed Finch","Fringillidae","Birds"
"Sitta villosa","Snowy-Browed Nuthatch","Sittidae","Birds"
"Tadorna ferruginea","Ruddy Shelduck","Anatidae","Birds"
"Phoenicurus frontalis","Blue-Fronted Redstart","Muscicapidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Anthus richardi","Richard's Pipit","Motacillidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Alauda gulgula","Oriental Skylark","Alaudidae","Birds"
"Turdus mupinensis","Chinese Thrush","Turdidae","Birds"
"Ficedula hodgsonii","Rusty-Breasted Blue Flycatcher","Muscicapidae","Birds"
"Garrulax maximus","Giant Laughingthrush","Timaliidae","Birds"
"Pteruthius xanthochlorus","Green Shrike-Babbler","Timaliidae","Birds"
"Turdus ruficollis","Dark-Throated Thrush","Turdidae","Birds"
"Ficedula albicilla","Taiga Flycatcher","Muscicapidae","Birds"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Crossoptilon crossoptilon","White Eared-Pheasant","Phasianidae","Birds"
"Oriolus chinensis","Black-Naped Oriole","Oriolidae","Birds"
"Alcippe ruficapilla","Spectacled Fulvetta","Timaliidae","Birds"
"Prunella montanella","Siberian Accentor","Prunellidae","Birds"
"Cuculus micropterus","Short-Winged Cuckoo","Cuculidae","Birds"
"Tetraophasis szechenyii","Szecheny's Partridge","Phasianidae","Birds"
"Muscicapa ferruginea","Ferruginous Flycatcher","Muscicapidae","Birds"
"Uragus sibiricus","Long-Tailed Rosefinch","Fringillidae","Birds"
"Phylloscopus kansuensis","Gansu Leaf Warbler","Sylviidae","Birds"
"Lanius isabellinus","Isabelline Shrike","Laniidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Emberiza pallasi","Pallas's Bunting","Emberizidae","Birds"
"Ficedula strophiata","Orange-Gorgetted Flycatcher","Muscicapidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Pomatorhinus gravivox","Black Streaked Scimitar Babbler","Timaliidae","Birds"
"Melanocorypha maxima","Long-Billed Calandra Lark","Alaudidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Motacilla citreola","Citrine Wagtail","Motacillidae","Birds"
"Aviceda leuphotes","Black Baza","Accipitridae","Birds"
"Paradoxornis webbianus","Brown-Winged Parrotbill","Timaliidae","Birds"
"Zosterops erythropleurus","Chestnut-Flanked White-Eye","Zosteropidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Corvus levaillantii","Jungle Crow","Corvidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Tetraogallus himalayensis","Himalayan Snowcock","Phasianidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Luscinia obscura","Black-Throated Blue Robin","Muscicapidae","Birds"
"Zoothera mollissima","Plain-Backed Thrush","Turdidae","Birds"
"Tetraogallus tibetanus","Tibetan Snowcock","Phasianidae","Birds"
"Carpodacus thura","White-Browed Rosefinch","Fringillidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Garrulax ocellatus","White-Spotted Laughingthrush","Timaliidae","Birds"
"Apus pacificus","Fork-Tailed Swift","Apodidae","Birds"
"Leptopoecile elegans","Crested Tit-Warbler","Aegithalidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Rhopophilus pekinensis","White-Browed Chinese Warbler","Cisticolidae","Birds"
"Acrocephalus agricola","Paddyfield Warbler","Sylviidae","Birds"
"Phylloscopus magnirostris","Large-Billed Leaf-Warbler","Sylviidae","Birds"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Calandrella acutirostris","Hume's Lark","Alaudidae","Birds"
"Lanius tephronotus","Grey-Backed Shrike","Laniidae","Birds"
"Ficedula tricolor","Slaty-Blue Flycatcher","Muscicapidae","Birds"
"Haliaeetus leucoryphus","Pallas Sea-Eagle","Accipitridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Oenanthe isabellina","Isabelline Wheatear","Muscicapidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Carpodacus rubicilloides","Eastern Great Rosefinch","Fringillidae","Birds"
"Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclididae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Charadrius placidus","Long-Billed Plover","Charadriidae","Birds"
"Babax lanceolatus","Chinese Babax","Timaliidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Leucosticte brandti","Brandt's Rosy-Finch","Fringillidae","Birds"
"Muscicapa sibirica","Siberian Flycatcher","Muscicapidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Rhodopechys obsoletus","Desert Finch","Fringillidae","Birds"
"Aquila nipalensis","Steppe Eagle","Accipitridae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Larus brunnicephalus","Brown-Headed Gull","Laridae","Birds"
"Chrysomma poecilotis","Rufous-Tailed Babbler","Timaliidae","Birds"
"Cettia acanthizoides","Yellowish Bellied Bush Warbler","Sylviidae","Birds"
"Perisoreus internigrans","Szechwan Jay","Corvidae","Birds"
"Phylloscopus pulcher","Buff-Barred Warbler","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Passer rutilans","Cinnamon Sparrow","Passeridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Lerwa lerwa","Snow Partridge","Phasianidae","Birds"
"Lanius bucephalus","Bull-Headed Shrike","Laniidae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Prunella strophiata","Rufous-Breasted Accentor","Prunellidae","Birds"
"Anas formosa","Baikal Teal","Anatidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Sturnus cineraceus","Grey Starling","Sturnidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Dicrurus leucophaeus","Ashy Drongo","Dicruridae","Birds"
"Carduelis sinica","Oriental Greenfinch","Fringillidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Phylloscopus reguloides","Blyth's Leaf-Warbler","Sylviidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Tesia castaneocoronata","Chestnut-Headed Tesia","Sylviidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Ardeola bacchus","Chinese Pond-Heron","Ardeidae","Birds"
"Locustella lanceolata","Lanceolated Warbler","Sylviidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Pseudopodoces humilis","Tibetan Ground-Jay","Paridae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Prunella immaculata","Maroon-Backed Accentor","Prunellidae","Birds"
"Grandala coelicolor","Grandala","Muscicapidae","Birds"
"Phylloscopus affinis","Tickell's Leaf-Warbler","Sylviidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
