Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Shaanxi region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Garrulax lunulatus","Bar-Backed Laughingthrush","Timaliidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Melanocorypha maxima","Long-Billed Calandra Lark","Alaudidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Porzana fusca","Ruddy-Breasted Crake","Rallidae","Birds"
"Aviceda leuphotes","Black Baza","Accipitridae","Birds"
"Paradoxornis webbianus","Brown-Winged Parrotbill","Timaliidae","Birds"
"Garrulax canorus","Melodious Laughingthrush","Timaliidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Minla cyanouroptera","Blue-Winged Minla","Timaliidae","Birds"
"Carpodacus thura","White-Browed Rosefinch","Fringillidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Garrulax ocellatus","White-Spotted Laughingthrush","Timaliidae","Birds"
"Apus pacificus","Fork-Tailed Swift","Apodidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Rhopophilus pekinensis","White-Browed Chinese Warbler","Cisticolidae","Birds"
"Leiothrix lutea","Pekin Robin","Timaliidae","Birds"
"Turdus cardis","Japanese Thrush","Turdidae","Birds"
"Haliaeetus leucoryphus","Pallas Sea-Eagle","Accipitridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Oenanthe isabellina","Isabelline Wheatear","Muscicapidae","Birds"
"Stachyris ruficeps","Rufous-Capped Babbler","Timaliidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Pnoepyga albiventer","Scaly-Breasted Wren-Babbler","Timaliidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclididae","Birds"
"Charadrius placidus","Long-Billed Plover","Charadriidae","Birds"
"Muscicapa sibirica","Siberian Flycatcher","Muscicapidae","Birds"
"Ficedula zanthopygia","Yellow-Rumped Flycatcher","Muscicapidae","Birds"
"Phylloscopus pulcher","Buff-Barred Warbler","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Crossoptilon mantchuricum","Brown Eared-Pheasant","Phasianidae","Birds"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Lerwa lerwa","Snow Partridge","Phasianidae","Birds"
"Lanius bucephalus","Bull-Headed Shrike","Laniidae","Birds"
"Prunella strophiata","Rufous-Breasted Accentor","Prunellidae","Birds"
"Paradoxornis fulvifrons","Fulvous-Fronted Parrotbill","Timaliidae","Birds"
"Niltava sundara","Rufous-Bellied Niltava","Muscicapidae","Birds"
"Anas formosa","Baikal Teal","Anatidae","Birds"
"Sturnus cineraceus","Grey Starling","Sturnidae","Birds"
"Hypsipetes leucocephalus","Asian Black Bulbul","Pycnonotidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Carduelis sinica","Oriental Greenfinch","Fringillidae","Birds"
"Muscicapa muttui","Brown-Breasted Flycatcher","Muscicapidae","Birds"
"Urocissa erythrorhyncha","Red-Billed Blue Magpie","Corvidae","Birds"
"Phylloscopus reguloides","Blyth's Leaf-Warbler","Sylviidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Hirundapus caudacutus","White-Throated Needletail","Apodidae","Birds"
"Collocalia brevirostris","Himalayan Swiftlet","Apodidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Ardeola bacchus","Chinese Pond-Heron","Ardeidae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Seicercus soror","Alstrom's Warbler","Sylviidae","Birds"
"Parus venustulus","Yellow-Bellied Tit","Paridae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Turnix tanki","Yellow-Legged Buttonquail","Turnicidae","Birds"
"Phylloscopus affinis","Tickell's Leaf-Warbler","Sylviidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
"Phylloscopus subaffinis","Buff-Throated Warbler","Sylviidae","Birds"
"Delichon dasypus","Asian House Martin","Hirundinidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Turdus feae","Grey-Sided Thrush","Turdidae","Birds"
"Anas zonorhyncha","Eastern Spot-Billed Duck","Anatidae","Birds"
"Zosterops japonicus","Japanese White-Eye","Zosteropidae","Birds"
"Treron sieboldii","Japanese Green-Pigeon","Columbidae","Birds"
"Conostoma oemodium","Great Parrotbill","Timaliidae","Birds"
"Tarsiger chrysaeus","Golden Bush-Robin","Muscicapidae","Birds"
"Ixobrychus cinnamomeus","Cinnamon Bittern","Ardeidae","Birds"
"Pucrasia macrolopha","Koklass Pheasant","Phasianidae","Birds"
"Phoenicurus schisticeps","White-Throated Redstart","Muscicapidae","Birds"
"Alectoris magna","Przewalski's Partridge","Phasianidae","Birds"
"Anser cygnoides","Swan Goose","Anatidae","Birds"
