Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Shanxi region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Syrmaticus reevesii","Reeves's Pheasant","Phasianidae","Birds"
"Cygnus cygnus","Whooper Swan","Anatidae","Birds"
"Alcippe ruficapilla","Spectacled Fulvetta","Timaliidae","Birds"
"Prunella montanella","Siberian Accentor","Prunellidae","Birds"
"Cuculus micropterus","Short-Winged Cuckoo","Cuculidae","Birds"
"Muscicapa ferruginea","Ferruginous Flycatcher","Muscicapidae","Birds"
"Uragus sibiricus","Long-Tailed Rosefinch","Fringillidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Lanius isabellinus","Isabelline Shrike","Laniidae","Birds"
"Emberiza pallasi","Pallas's Bunting","Emberizidae","Birds"
"Turdus obscurus","Eyebrowed Thrush","Turdidae","Birds"
"Corvus torquatus","Collared Crow","Corvidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Cettia diphone","Japanese Bush-Warbler","Sylviidae","Birds"
"Pomatorhinus gravivox","Black Streaked Scimitar Babbler","Timaliidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Accipiter gularis","Japanese Sparrowhawk","Accipitridae","Birds"
"Porzana fusca","Ruddy-Breasted Crake","Rallidae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Motacilla citreola","Citrine Wagtail","Motacillidae","Birds"
"Turdus hortulorum","Grey-Backed Thrush","Turdidae","Birds"
"Paradoxornis webbianus","Brown-Winged Parrotbill","Timaliidae","Birds"
"Zosterops erythropleurus","Chestnut-Flanked White-Eye","Zosteropidae","Birds"
"Garrulax canorus","Melodious Laughingthrush","Timaliidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Branta bernicla","Brant","Anatidae","Birds"
"Clamator coromandus","Chestnut-Winged Cuckoo","Cuculidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Apus pacificus","Fork-Tailed Swift","Apodidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Rhopophilus pekinensis","White-Browed Chinese Warbler","Cisticolidae","Birds"
"Leiothrix lutea","Pekin Robin","Timaliidae","Birds"
"Haliaeetus leucoryphus","Pallas Sea-Eagle","Accipitridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Oenanthe isabellina","Isabelline Wheatear","Muscicapidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Ninox scutulata","Brown Hawk-Owl","Strigidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Syrrhaptes paradoxus","Pallas's Sandgrouse","Pteroclididae","Birds"
"Anas falcata","Falcated Duck","Anatidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Charadrius placidus","Long-Billed Plover","Charadriidae","Birds"
"Babax lanceolatus","Chinese Babax","Timaliidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Ficedula zanthopygia","Yellow-Rumped Flycatcher","Muscicapidae","Birds"
"Lanius tigrinus","Tiger Shrike","Laniidae","Birds"
"Ketupa flavipes","Tawny Fish-Owl","Strigidae","Birds"
"Aquila nipalensis","Steppe Eagle","Accipitridae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Cettia acanthizoides","Yellowish Bellied Bush Warbler","Sylviidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Phylloscopus pulcher","Buff-Barred Warbler","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Cuculus saturatus","Oriental Cuckoo","Cuculidae","Birds"
"Passer rutilans","Cinnamon Sparrow","Passeridae","Birds"
"Crossoptilon mantchuricum","Brown Eared-Pheasant","Phasianidae","Birds"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Anas formosa","Baikal Teal","Anatidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Sturnus cineraceus","Grey Starling","Sturnidae","Birds"
"Pericrocotus divaricatus","Ashy Minivet","Campephagidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Dicrurus leucophaeus","Ashy Drongo","Dicruridae","Birds"
"Carduelis sinica","Oriental Greenfinch","Fringillidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Urocissa erythrorhyncha","Red-Billed Blue Magpie","Corvidae","Birds"
"Phylloscopus reguloides","Blyth's Leaf-Warbler","Sylviidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pycnonotus sinensis","Chinese Bulbul","Pycnonotidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Ardeola bacchus","Chinese Pond-Heron","Ardeidae","Birds"
"Parus venustulus","Yellow-Bellied Tit","Paridae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Grus japonensis","Red-Crowned Crane","Gruidae","Birds"
"Locustella lanceolata","Lanceolated Warbler","Sylviidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Butastur indicus","Grey-Faced Buzzard","Accipitridae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Turnix tanki","Yellow-Legged Buttonquail","Turnicidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
"Phylloscopus subaffinis","Buff-Throated Warbler","Sylviidae","Birds"
"Delichon dasypus","Asian House Martin","Hirundinidae","Birds"
"Alectoris chukar","Chukar","Phasianidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Carpodacus vinaceus","Vinaceous Rosefinch","Fringillidae","Birds"
"Turdus feae","Grey-Sided Thrush","Turdidae","Birds"
"Anas zonorhyncha","Eastern Spot-Billed Duck","Anatidae","Birds"
"Zosterops japonicus","Japanese White-Eye","Zosteropidae","Birds"
"Luscinia ruficeps","Rufous-Headed Robin","Muscicapidae","Birds"
"Eudynamys scolopaceus","Asian Koel","Cuculidae","Birds"
"Ixobrychus cinnamomeus","Cinnamon Bittern","Ardeidae","Birds"
"Pucrasia macrolopha","Koklass Pheasant","Phasianidae","Birds"
"Anser cygnoides","Swan Goose","Anatidae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Certhia himalayana","Bar-Tailed Treecreeper","Certhiidae","Birds"
"Garrulax elliotii","Elliot's Laughingthrush","Timaliidae","Birds"
"Cuculus optatus","Oriental Cuckoo","Cuculidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Bradypterus tacsanowskius","Chinese Bush-Warbler","Sylviidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Emberiza fucata","Chestnut-Eared Bunting","Emberizidae","Birds"
"Carpodacus roseus","Pallas's Rosefinch","Fringillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Phylloscopus proregulus","Pallas's Leaf Warbler","Sylviidae","Birds"
"Parus monticolus","Green-Backed Tit","Paridae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Phylloscopus tenellipes","Pale-Legged Leaf-Warbler","Sylviidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Rhyacornis fuliginosa","Plumbeous Water Redstart","Muscicapidae","Birds"
"Cettia flavolivacea","Aberrant Bush-Warbler","Sylviidae","Birds"
"Dicrurus hottentottus","Hair-Crested Drongo","Dicruridae","Birds"
"Dendronanthus indicus","Forest Wagtail","Motacillidae","Birds"
"Garrulax davidi","David's Laughingthrush","Timaliidae","Birds"
"Calandrella cheleensis","Asian Short-Toed Lark","Alaudidae","Birds"
"Falco amurensis","Amur Falcon","Falconidae","Birds"
"Lanius sphenocercus","Chinese Grey Shrike","Laniidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Aegithalos concinnus","Black-Throated Tit","Aegithalidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Coturnix japonica","Japanese Quail","Phasianidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Pernis ptilorhyncus","Oriental Honey-Buzzard","Accipitridae","Birds"
"Prinia crinigera","Striated Prinia","Cisticolidae","Birds"
"Butorides striata","Green-Backed Heron","Ardeidae","Birds"
"Garrulax perspicillatus","Spectacled Laughingthrush","Timaliidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Gallicrex cinerea","Watercock","Rallidae","Birds"
"Chaimarrornis leucocephalus","River Chat","Muscicapidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Streptopelia tranquebarica","Red-Collared Dove","Columbidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Halcyon pileata","Black-Capped Kingfisher","Alcedinidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Phylloscopus claudiae","Claudia's Warbler","Sylviidae","Birds"
"Alcippe cinereiceps","Grey-Hooded Fulvetta","Timaliidae","Birds"
"Emberiza leucocephalos","Pine Bunting","Emberizidae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Anthus roseatus","Rosy Pipit","Motacillidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Larus relictus","Lönnberg's Gull","Laridae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Megaceryle lugubris","Crested Kingfisher","Alcedinidae","Birds"
"Ardea purpurea","Purple Heron","Ardeidae","Birds"
"Corvus macrorhynchos","Large-Billed Crow","Corvidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Paradoxornis guttaticollis","Spot-Breasted Parrotbill","Timaliidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Pyrrhocorax pyrrhocorax","Red-Billed Chough","Corvidae","Birds"
"Aegypius monachus","Monk Vulture","Accipitridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Ithaginis cruentus","Blood Pheasant","Phasianidae","Birds"
"Acrocephalus concinens","Blunt-Winged Warbler","Sylviidae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Ixobrychus eurhythmus","Schrenck's Bittern","Ardeidae","Birds"
"Aythya baeri","Baer's Pochard","Anatidae","Birds"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Seicercus tephrocephalus","Grey Crowned Warbler","Sylviidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Gallinago solitaria","Solitary Snipe","Scolopacidae","Birds"
"Anas poecilorhyncha","Spot-Billed Duck","Anatidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Melanocorypha mongolica","Mongolian Lark","Alaudidae","Birds"
"Corvus dauuricus","Daurian Jackdaw","Corvidae","Birds"
"Cuculus sparverioides","Large Hawk-Cuckoo","Cuculidae","Birds"
"Monticola gularis","White-Throated Rock-Thrush","Muscicapidae","Birds"
"Anthus hodgsoni","Olive-Backed Pipit","Motacillidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Phoenicurus erythrogastrus","Güldenstädt's Redstart","Muscicapidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Lanius schach","Long-Tailed Shrike","Laniidae","Birds"
"Paradoxornis paradoxus","Three-Toed Parrotbill","Timaliidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Phylloscopus yunnanensis","Chinese Leaf Warbler","Sylviidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Anthus godlewskii","Blyth's Pipit","Motacillidae","Birds"
"Chlamydotis undulata","Houbara Bustard","Otididae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Prunella fulvescens","Brown Accentor","Prunellidae","Birds"
"Pericrocotus ethologus","Long-Tailed Minivet","Campephagidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Phoenicurus auroreus","Daurian Redstart","Muscicapidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Acrocephalus bistrigiceps","Black-Browed Reed-Warbler","Sylviidae","Birds"
"Turdus pallidus","Pale Thrush","Turdidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
