Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Sichuan region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Strix davidi","Pere David's Owl","Strigidae","Birds"
"Mycerobas carnipes","White-Winged Grosbeak","Fringillidae","Birds"
"Myzornis pyrrhoura","Fire-Tailed Myzornis","Timaliidae","Birds"
"Pycnonotus jocosus","Red-Whiskered Bulbul","Pycnonotidae","Birds"
"Circus spilonotus","Eastern Marsh-Harrier","Accipitridae","Birds"
"Seicercus affinis","Allied Flycatcher-Warbler","Sylviidae","Birds"
"Gallinago nemoricola","Wood Snipe","Scolopacidae","Birds"
"Ficedula sapphira","Sapphire-Headed Flycatcher","Muscicapidae","Birds"
"Arborophila atrogularis","White-Cheeked Partridge","Phasianidae","Birds"
"Carpodacus edwardsii","Dark-Rumped Rosefinch","Fringillidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Mycerobas melanozanthos","Spot-Winged Grosbeak","Fringillidae","Birds"
"Pnoepyga pusilla","Pygmy Wren-Babbler","Timaliidae","Birds"
"Circus melanoleucos","Pied Harrier","Accipitridae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Delichon nipalense","Nepal House Martin","Hirundinidae","Birds"
"Dendronanthus indicus","Forest Wagtail","Motacillidae","Birds"
"Garrulax davidi","David's Laughingthrush","Timaliidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Aegithalos concinnus","Black-Throated Tit","Aegithalidae","Birds"
"Cinclidium leucurum","White-Tailed Robin","Muscicapidae","Birds"
"Pernis ptilorhyncus","Oriental Honey-Buzzard","Accipitridae","Birds"
"Prinia crinigera","Striated Prinia","Cisticolidae","Birds"
"Bambusicola thoracicus","Chinese Bamboo Partridge","Phasianidae","Birds"
"Halcyon pileata","Black-Capped Kingfisher","Alcedinidae","Birds"
"Garrulax berthemyi","Buffy Laughingthrush","Timaliidae","Birds"
"Montifringilla ruficollis","Rufous-Necked Snowfinch","Passeridae","Birds"
"Garrulax bieti","Biet's Laughingthrush","Timaliidae","Birds"
"Emberiza leucocephalos","Pine Bunting","Emberizidae","Birds"
"Chrysococcyx xanthorhynchus","Violet Cuckoo","Cuculidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Sitta nagaensis","Chestnut-Vented Nuthatch","Sittidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Ithaginis cruentus","Blood Pheasant","Phasianidae","Birds"
"Merops philippinus","Blue-Tailed Bee-Eater","Meropidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Garrulax henrici","Prince Henry's Laughingthrush","Timaliidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Aythya baeri","Baer's Pochard","Anatidae","Birds"
"Latoucheornis siemsseni","Slaty Bunting","Emberizidae","Birds"
"Aegithalos iouschistos","Black-Browed Tit","Aegithalidae","Birds"
"Paradoxornis przewalskii","Rusty-Throated Parrotbill","Timaliidae","Birds"
"Tarsiger indicus","White-Browed Bush-Robin","Muscicapidae","Birds"
"Carpodacus rubescens","Blanford's Rosefinch","Fringillidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Emberiza koslowi","Koslow's Bunting","Emberizidae","Birds"
"Pteruthius flaviscapis","White-Browed Shrike-Babbler","Timaliidae","Birds"
"Emberiza tristrami","Tristram's Bunting","Emberizidae","Birds"
"Prunella fulvescens","Brown Accentor","Prunellidae","Birds"
"Carduelis flavirostris","Twite","Fringillidae","Birds"
"Phoenicurus auroreus","Daurian Redstart","Muscicapidae","Birds"
"Picus flavinucha","Greater Yellow-Naped Woodpecker","Picidae","Birds"
"Tetraophasis obscurus","Verreaux's Monal Partridge","Phasianidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Charadrius mongolus","Mongolian Plover","Charadriidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Falco severus","Oriental Hobby","Falconidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Garrulax lunulatus","Bar-Backed Laughingthrush","Timaliidae","Birds"
"Cettia major","Large Bush-Warbler","Sylviidae","Birds"
"Otus sunia","Oriental Scops Owl","Strigidae","Birds"
"Bradypterus mandelli","Russet Bush Warbler","Sylviidae","Birds"
"Acridotheres tristis","Common Myna","Sturnidae","Birds"
"Ixobrychus sinensis","Yellow Bittern","Ardeidae","Birds"
"Buteo rufinus","Long-Legged Buzzard","Accipitridae","Birds"
"Perdix hodgsoniae","Tibetan Partridge","Phasianidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Niltava macgrigoriae","Small Niltava","Muscicapidae","Birds"
"Parus hypermelaenus","Black-Bibbed Tit","Paridae","Birds"
"Dendrocopos hyperythrus","Rufous-Bellied Woodpecker","Picidae","Birds"
"Minla ignotincta","Red-Tailed Minla","Timaliidae","Birds"
"Megalaima virens","Great Barbet","Ramphastidae","Birds"
"Carpodacus synoicus","Pale Rosefinch","Fringillidae","Birds"
"Eremopsaltria mongolicus","Mongolian Finch","Fringillidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Anthus richardi","Richard's Pipit","Motacillidae","Birds"
"Parus spilonotus","Chinese Yellow Tit","Paridae","Birds"
"Garrulax cineraceus","Ashy Laughingthrush","Timaliidae","Birds"
"Garrulax maximus","Giant Laughingthrush","Timaliidae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Ceryle rudis","Pied Kingfisher","Alcedinidae","Birds"
"Oriolus chinensis","Black-Naped Oriole","Oriolidae","Birds"
"Garrulax pectoralis","Greater Necklaced Laughingthrush","Timaliidae","Birds"
"Tetraophasis szechenyii","Szecheny's Partridge","Phasianidae","Birds"
"Prinia hodgsonii","Franklin's Prinia","Cisticolidae","Birds"
"Copsychus saularis","Oriental Magpie-Robin","Muscicapidae","Birds"
"Turdus obscurus","Eyebrowed Thrush","Turdidae","Birds"
"Pomatorhinus gravivox","Black Streaked Scimitar Babbler","Timaliidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Motacilla citreola","Citrine Wagtail","Motacillidae","Birds"
"Zosterops erythropleurus","Chestnut-Flanked White-Eye","Zosteropidae","Birds"
"Corvus levaillantii","Jungle Crow","Corvidae","Birds"
"Chrysolophus amherstiae","Lady Amherst's Pheasant","Phasianidae","Birds"
"Oriolus traillii","Maroon Oriole","Oriolidae","Birds"
"Leptopoecile elegans","Crested Tit-Warbler","Aegithalidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Tragopan temminckii","Temminck's Tragopan","Phasianidae","Birds"
"Phylloscopus emeiensis","Emei Leaf Warbler","Sylviidae","Birds"
"Ninox scutulata","Brown Hawk-Owl","Strigidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Babax lanceolatus","Chinese Babax","Timaliidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Lanius tigrinus","Tiger Shrike","Laniidae","Birds"
"Ketupa flavipes","Tawny Fish-Owl","Strigidae","Birds"
"Cettia acanthizoides","Yellowish Bellied Bush Warbler","Sylviidae","Birds"
"Parus davidi","Pere David's Tit","Paridae","Birds"
"Perisoreus internigrans","Szechwan Jay","Corvidae","Birds"
"Aethopyga christinae","Fork-Tailed Sunbird","Nectariniidae","Birds"
"Caprimulgus macrurus","Large-Tailed Nightjar","Caprimulgidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Chloropsis hardwickii","Orange-Bellied Leafbird","Chloropseidae","Birds"
"Alophoixus pallidus","Olivaceous Bearded Bulbul","Pycnonotidae","Birds"
"Hydrophasianus chirurgus","Pheasant-Tailed Jacana","Jacanidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Alcippe variegaticeps","Gold-Fronted Fulvetta","Timaliidae","Birds"
"Sitta magna","Giant Nuthatch","Sittidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Butastur indicus","Grey-Faced Buzzard","Accipitridae","Birds"
"Pericrocotus cantonensis","Brown-Rumped Minivet","Campephagidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Phylloscopus maculipennis","Grey-Faced Warbler","Sylviidae","Birds"
"Lanius cristatus","Brown Shrike","Laniidae","Birds"
"Caprimulgus indicus","Jungle Nightjar","Caprimulgidae","Birds"
"Carpodacus rubicilla","Caucasian Great Rosefinch","Fringillidae","Birds"
"Glareola maldivarum","Oriental Pratincole","Glareolidae","Birds"
"Seicercus omeiensis","Martens's Warbler","Sylviidae","Birds"
"Carpodacus eos","Stresemann's Rosefinch","Fringillidae","Birds"
"Pycnonotus striatus","Striated Bulbul","Pycnonotidae","Birds"
"Pycnonotus cafer","Red-Vented Bulbul","Pycnonotidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Aegithalos fuliginosus","Sooty Tit","Aegithalidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Myophonus caeruleus","Himalayan Whistling-Thrush","Turdidae","Birds"
"Sitta yunnanensis","Yunnan Nuthatch","Sittidae","Birds"
"Pyrrhula erythaca","Beavan's Bullfinch","Fringillidae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Emberiza rustica","Rustic Bunting","Emberizidae","Birds"
"Pycnonotus xanthorrhous","Anderson's Bulbul","Pycnonotidae","Birds"
"Emberiza rutila","Chestnut Bunting","Emberizidae","Birds"
"Coracina melaschistos","Black-Winged Cuckoo-Shrike","Campephagidae","Birds"
"Phylloscopus forresti","Sichuan Leaf Warbler","Sylviidae","Birds"
"Nettapus coromandelianus","Cotton Pygmy-Goose","Anatidae","Birds"
"Francolinus francolinus","Black Francolin","Phasianidae","Birds"
