Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Xinjiang Uygur region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Larus brunnicephalus","Brown-Headed Gull","Laridae","Birds"
"Phylloscopus pulcher","Buff-Barred Warbler","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Dicrurus macrocercus","Black Drongo","Dicruridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Lerwa lerwa","Snow Partridge","Phasianidae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Pterocles orientalis","Black-Bellied Sandgrouse","Pteroclididae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Oenanthe picata","Variable Wheatear","Muscicapidae","Birds"
"Buteo hemilasius","Upland Buzzard","Accipitridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Pseudopodoces humilis","Tibetan Ground-Jay","Paridae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Phylloscopus affinis","Tickell's Leaf-Warbler","Sylviidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
"Delichon dasypus","Asian House Martin","Hirundinidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Petronia xanthocollis","Chestnut-Shouldered Petronia","Passeridae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Acrocephalus melanopogon","Moustached Warbler","Sylviidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Netta rufina","Red-Crested Pochard","Anatidae","Birds"
"Anser cygnoides","Swan Goose","Anatidae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Certhia himalayana","Bar-Tailed Treecreeper","Certhiidae","Birds"
"Lophophorus impejanus","Himalayan Monal","Phasianidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Tringa melanoleuca","Greater Yellowlegs","Scolopacidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Montifringilla davidiana","Small Snowfinch","Passeridae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Enicurus scouleri","Little Forktail","Muscicapidae","Birds"
"Serinus thibetanus","Tibetan Serin","Fringillidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Emberiza aureola","Yellow-Breasted Bunting","Emberizidae","Birds"
"Rhyacornis fuliginosa","Plumbeous Water Redstart","Muscicapidae","Birds"
"Calandrella cheleensis","Asian Short-Toed Lark","Alaudidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Saxicola caprata","Pied Bushchat","Muscicapidae","Birds"
"Eudromias morinellus","Dotterel","Charadriidae","Birds"
"Locustella fasciolata","Gray's Grasshopper-Warbler","Sylviidae","Birds"
"Grus grus","Common Crane","Gruidae","Birds"
"Bucanetes githagineus","Trumpeter Finch","Fringillidae","Birds"
"Passer hispaniolensis","Spanish Sparrow","Passeridae","Birds"
"Petronia petronia","Rock Sparrow","Passeridae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Anthus roseatus","Rosy Pipit","Motacillidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Pyrrhocorax pyrrhocorax","Red-Billed Chough","Corvidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Aegypius monachus","Monk Vulture","Accipitridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Gyps himalayensis","Himalayan Griifon","Accipitridae","Birds"
"Tetrax tetrax","Little Bustard","Otididae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Gallinago solitaria","Solitary Snipe","Scolopacidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Sitta leucopsis","White-Cheeked Nuthatch","Sittidae","Birds"
"Melanocorypha mongolica","Mongolian Lark","Alaudidae","Birds"
"Corvus dauuricus","Daurian Jackdaw","Corvidae","Birds"
"Anthus hodgsoni","Olive-Backed Pipit","Motacillidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Bradypterus major","Large-Billed Bush-Warbler","Sylviidae","Birds"
"Phoenicurus erythrogastrus","Güldenstädt's Redstart","Muscicapidae","Birds"
