Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Xizang region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Muscicapa ferruginea","Ferruginous Flycatcher","Muscicapidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Babax lanceolatus","Chinese Babax","Timaliidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Ketupa flavipes","Tawny Fish-Owl","Strigidae","Birds"
"Glaucidium radiatum","Jungle Owlet","Strigidae","Birds"
"Cettia acanthizoides","Yellowish Bellied Bush Warbler","Sylviidae","Birds"
"Garrulax subunicolor","Scaly Laughingthrush","Timaliidae","Birds"
"Perisoreus internigrans","Szechwan Jay","Corvidae","Birds"
"Picus chlorolophus","Lesser Yellownape","Picidae","Birds"
"Pomatorhinus hypoleucos","Large Scimitar-Babbler","Timaliidae","Birds"
"Seicercus whistleri","Whistler's Warbler","Sylviidae","Birds"
"Chloropsis aurifrons","Golden-Fronted Leafbird","Chloropseidae","Birds"
"Caprimulgus macrurus","Large-Tailed Nightjar","Caprimulgidae","Birds"
"Anthracoceros albirostris","Oriental Pied Hornbill","Bucerotidae","Birds"
"Turdoides nipalensis","Spiny Babbler","Timaliidae","Birds"
"Alcedo meninting","Blue-Eared Kingfisher","Alcedinidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Chloropsis hardwickii","Orange-Bellied Leafbird","Chloropseidae","Birds"
"Hydrophasianus chirurgus","Pheasant-Tailed Jacana","Jacanidae","Birds"
"Calandrella rufescens","Lesser Short-Toed Lark","Alaudidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Mycerobas carnipes","White-Winged Grosbeak","Fringillidae","Birds"
"Carpodacus rhodochlamys","Red-Mantled Rosefinch","Fringillidae","Birds"
"Dendrocitta vagabunda","Indian Treepie","Corvidae","Birds"
"Garrulax leucolophus","White-Crested Laughingthrush","Timaliidae","Birds"
"Myzornis pyrrhoura","Fire-Tailed Myzornis","Timaliidae","Birds"
"Megalaima franklinii","Golden-Throated Barbet","Ramphastidae","Birds"
"Pycnonotus jocosus","Red-Whiskered Bulbul","Pycnonotidae","Birds"
"Coracina melanoptera","Black-Headed Cuckoo-Shrike","Campephagidae","Birds"
"Seicercus affinis","Allied Flycatcher-Warbler","Sylviidae","Birds"
"Gallinago nemoricola","Wood Snipe","Scolopacidae","Birds"
"Ficedula sapphira","Sapphire-Headed Flycatcher","Muscicapidae","Birds"
"Passer ammodendri","Saxaul Sparrow","Passeridae","Birds"
"Polyplectron bicalcaratum","Burmese Peacock-Pheasant","Phasianidae","Birds"
"Carpodacus edwardsii","Dark-Rumped Rosefinch","Fringillidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Mycerobas melanozanthos","Spot-Winged Grosbeak","Fringillidae","Birds"
"Babax waddelli","Giant Babax","Timaliidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Certhia nipalensis","Rusty-Flanked Treecreeper","Certhiidae","Birds"
"Aviceda jerdoni","Jerdon's Baza","Accipitridae","Birds"
"Picumnus innominatus","Speckled Piculet","Picidae","Birds"
"Gallinago solitaria","Solitary Snipe","Scolopacidae","Birds"
"Anas poecilorhyncha","Spot-Billed Duck","Anatidae","Birds"
"Cinclidium frontale","Blue-Fronted Callene","Muscicapidae","Birds"
"Luscinia calliope","Siberian Rubythroat","Muscicapidae","Birds"
"Sitta leucopsis","White-Cheeked Nuthatch","Sittidae","Birds"
"Dendrocopos canicapillus","Grey-Capped Woodpecker","Picidae","Birds"
"Melanocorypha mongolica","Mongolian Lark","Alaudidae","Birds"
"Corvus dauuricus","Daurian Jackdaw","Corvidae","Birds"
"Cuculus sparverioides","Large Hawk-Cuckoo","Cuculidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Eumyias thalassinus","Verditer Flycatcher","Muscicapidae","Birds"
"Garrulax albogularis","White-Throated Laughingthrush","Timaliidae","Birds"
"Phoenicurus erythrogastrus","Güldenstädt's Redstart","Muscicapidae","Birds"
"Zoothera dixoni","Long-Tailed Thrush","Turdidae","Birds"
"Lanius schach","Long-Tailed Shrike","Laniidae","Birds"
"Crossoptilon harmani","Tibetan Eared Pheasant","Phasianidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Lanius meridionalis","Southern Grey Shrike","Laniidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Vanellus indicus","Red-Wattled Lapwing","Charadriidae","Birds"
"Cettia brunnescens","Hume's Bush Warbler","Sylviidae","Birds"
"Cochoa viridis","Green Cochoa","Turdidae","Birds"
"Lanius cristatus","Brown Shrike","Laniidae","Birds"
"Caprimulgus indicus","Jungle Nightjar","Caprimulgidae","Birds"
"Pycnonotus melanicterus","Black-Crested Bulbul","Pycnonotidae","Birds"
"Glareola maldivarum","Oriental Pratincole","Glareolidae","Birds"
"Psarisomus dalhousiae","Long-Tailed Broadbill","Eurylaimidae","Birds"
"Myophonus caeruleus","Himalayan Whistling-Thrush","Turdidae","Birds"
"Sitta yunnanensis","Yunnan Nuthatch","Sittidae","Birds"
"Pycnonotus xanthorrhous","Anderson's Bulbul","Pycnonotidae","Birds"
"Nettapus coromandelianus","Cotton Pygmy-Goose","Anatidae","Birds"
"Francolinus francolinus","Black Francolin","Phasianidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Stachyris ambigua","Buff-Chested Babbler","Timaliidae","Birds"
"Montifringilla taczanowskii","White-Rumped Snowfinch","Passeridae","Birds"
"Seicercus poliogenys","Grey-Cheeked Flycatcher-Warbler","Sylviidae","Birds"
"Luscinia pectardens","David's Rubythroat","Muscicapidae","Birds"
"Oenanthe deserti","Desert Wheatear","Muscicapidae","Birds"
"Gampsorhynchus rufulus","White-Headed Shrike-Babbler","Timaliidae","Birds"
"Turdus kessleri","White-Backed Thrush","Turdidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Phodilus badius","Bay Owl","Tytonidae","Birds"
"Alcippe chrysotis","Golden-Breasted Fulvetta","Timaliidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Oxyura leucocephala","White-Headed Duck","Anatidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Ficedula superciliaris","White-Browed Blue Flycatcher","Muscicapidae","Birds"
"Amaurornis phoenicurus","White-Breasted Waterhen","Rallidae","Birds"
"Microhierax melanoleucos","Pied Falconet","Falconidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Parus dichrous","Grey-Crested Tit","Paridae","Birds"
"Turdus rubrocanus","Grey-Headed Thrush","Turdidae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Stachyris rufifrons","Rufous-Fronted Babbler","Timaliidae","Birds"
"Sitta himalayensis","White-Tailed Nuthatch","Sittidae","Birds"
"Alcippe striaticollis","Chinese Fulvetta","Timaliidae","Birds"
"Dicrurus paradiseus","Greater Racket-Tailed Drongo","Dicruridae","Birds"
"Pavo cristatus","Common Peafowl","Phasianidae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Rhipidura hypoxantha","Yellow-Bellied Fantail","Rhipiduridae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
"Brachypteryx stellata","Gould's Shortwing","Turdidae","Birds"
"Circus pygargus","Montagu's Harrier","Accipitridae","Birds"
"Garrulus lanceolatus","Lanceolated Jay","Corvidae","Birds"
"Alcippe rufogularis","Rufous-Throated Fulvetta","Timaliidae","Birds"
"Pelargopsis capensis","Stork-Billed Kingfisher","Alcedinidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Bradypterus mandelli","Russet Bush Warbler","Sylviidae","Birds"
"Garrulax imbricatus","Bhutan Laughingthrush","Timaliidae","Birds"
"Perdix hodgsoniae","Tibetan Partridge","Phasianidae","Birds"
"Saxicola jerdoni","Jerdon's Bushchat","Muscicapidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Parus hypermelaenus","Black-Bibbed Tit","Paridae","Birds"
"Loriculus vernalis","Vernal Hanging-Parrot","Psittacidae","Birds"
"Dendrocopos hyperythrus","Rufous-Bellied Woodpecker","Picidae","Birds"
"Cyornis magnirostris","Large Blue Flycatcher","Muscicapidae","Birds"
"Megalaima virens","Great Barbet","Ramphastidae","Birds"
"Carpodacus synoicus","Pale Rosefinch","Fringillidae","Birds"
"Treron bicinctus","Orange Breasted Green Pigeon","Columbidae","Birds"
"Cissa chinensis","Green Magpie","Corvidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Yuhina nigrimenta","Black-Chinned Yuhina","Timaliidae","Birds"
"Phylloscopus davisoni","White-Tailed Leaf-Warbler","Sylviidae","Birds"
"Zoonavena sylvatica","White-Rumped Needletail","Apodidae","Birds"
"Saxicola caprata","Pied Bushchat","Muscicapidae","Birds"
"Serilophus lunatus","Silver-Breasted Broadbill","Eurylaimidae","Birds"
"Lophophorus sclateri","Sclater's Monal","Phasianidae","Birds"
"Saxicola leucurus","White Tailed Stonechat","Muscicapidae","Birds"
"Petronia petronia","Rock Sparrow","Passeridae","Birds"
"Chalcophaps indica","Emerald Dove","Columbidae","Birds"
"Lonchura striata","White-Rumped Munia","Estrildidae","Birds"
"Alcippe vinipectus","White-Browed Fulvetta","Timaliidae","Birds"
"Spelaeornis reptatus","Grey-Bellied Wren-Babbler","Timaliidae","Birds"
"Zosterops palpebrosus","Oriental White-Eye","Zosteropidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Gallicrex cinerea","Watercock","Rallidae","Birds"
"Muscicapa ruficauda","Rusty-Tailed Flycatcher","Muscicapidae","Birds"
"Oriolus xanthornus","Black-Hooded Oriole","Oriolidae","Birds"
"Aceros undulatus","Wreathed Hornbill","Bucerotidae","Birds"
"Pomatorhinus mcclellandi","Spot Breasted Scimitar Babbler","Timaliidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Gyps bengalensis","Indian White-Backed Vulture","Accipitridae","Birds"
"Streptopelia tranquebarica","Red-Collared Dove","Columbidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Amaurornis bicolor","Black-Tailed Crake","Rallidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Phylloscopus claudiae","Claudia's Warbler","Sylviidae","Birds"
"Lophura leucomelanos","Kalij Pheasant","Phasianidae","Birds"
"Pericrocotus cinnamomeus","Small Minivet","Campephagidae","Birds"
"Ictinaetus malayensis","Indian Black Eagle","Accipitridae","Birds"
"Terpsiphone paradisi","Asian Paradise-Flycatcher","Monarchidae","Birds"
"Oriolus tenuirostris","Slender-Billed Oriole","Oriolidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Anthus roseatus","Rosy Pipit","Motacillidae","Birds"
"Chrysomma sinense","Yellow-Eyed Babbler","Timaliidae","Birds"
"Psittacula alexandri","Red-Breasted Parakeet","Psittacidae","Birds"
"Gallirallus striatus","Blue-Breasted Banded Rail","Rallidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Celeus brachyurus","Rufous Woodpecker","Picidae","Birds"
"Aethopyga saturata","Black-Throated Sunbird","Nectariniidae","Birds"
"Megaceryle lugubris","Crested Kingfisher","Alcedinidae","Birds"
"Caprimulgus affinis","Savanna Nightjar","Caprimulgidae","Birds"
"Zoothera citrina","Orange-Headed Thrush","Turdidae","Birds"
"Yuhina torqueola","Indochinese Yuhina","Timaliidae","Birds"
"Corvus macrorhynchos","Large-Billed Crow","Corvidae","Birds"
"Bubo nipalensis","Forest Eagle-Owl","Strigidae","Birds"
"Cinclus pallasii","Brown Dipper","Cinclidae","Birds"
"Dicaeum concolor","Plain Flowerpecker","Dicaeidae","Birds"
"Niltava grandis","Large Niltava","Muscicapidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Ploceus benghalensis","Bengal Weaver","Ploceidae","Birds"
"Pitta cyanea","Blue Pitta","Pittidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Actinodura nipalensis","Hoary Barwing","Timaliidae","Birds"
"Sasia ochracea","White-Browed Piculet","Picidae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Dicaeum melanoxanthum","Yellow-Bellied Flowerpecker","Dicaeidae","Birds"
"Microhierax caerulescens","Collared Falconet","Falconidae","Birds"
"Emberiza pusilla","Little Bunting","Emberizidae","Birds"
"Sphenocichla humei","Wedge-Billed Wren-Babbler","Timaliidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Pyrrhocorax pyrrhocorax","Red-Billed Chough","Corvidae","Birds"
"Aegypius monachus","Monk Vulture","Accipitridae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Streptopelia orientalis","Oriental Turtle Dove","Columbidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Caprimulgus asiaticus","Indian Nightjar","Caprimulgidae","Birds"
"Zoothera dauma","Scaly Thrush","Turdidae","Birds"
"Paradoxornis ruficeps","Greater-Red-Headed Parrotbill","Timaliidae","Birds"
"Gyps himalayensis","Himalayan Griifon","Accipitridae","Birds"
"Cuculus fugax","Fugitive Hawk-Cuckoo","Cuculidae","Birds"
"Prinia inornata","Plain Prinia","Cisticolidae","Birds"
"Eurystomus orientalis","Eastern Broad-Billed Roller","Coraciidae","Birds"
"Saxicoloides fulicatus","Indian Robin","Muscicapidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Abroscopus schisticeps","Black-Faced Flycatcher-Warbler","Sylviidae","Birds"
"Francolinus gularis","Swamp Francolin","Phasianidae","Birds"
"Phylloscopus affinis","Tickell's Leaf-Warbler","Sylviidae","Birds"
"Acrocephalus aedon","Thick-Billed Warbler","Sylviidae","Birds"
"Phylloscopus subaffinis","Buff-Throated Warbler","Sylviidae","Birds"
