Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Yunnan region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
"Dendronanthus indicus","Forest Wagtail","Motacillidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Aegithalos concinnus","Black-Throated Tit","Aegithalidae","Birds"
"Rallina eurizonoides","Slaty-Legged Crake","Rallidae","Birds"
"Cinclidium leucurum","White-Tailed Robin","Muscicapidae","Birds"
"Cisticola exilis","Gold-Capped Cisticola","Cisticolidae","Birds"
"Pernis ptilorhyncus","Oriental Honey-Buzzard","Accipitridae","Birds"
"Prinia crinigera","Striated Prinia","Cisticolidae","Birds"
"Bambusicola thoracicus","Chinese Bamboo Partridge","Phasianidae","Birds"
"Halcyon pileata","Black-Capped Kingfisher","Alcedinidae","Birds"
"Coracina polioptera","Indochinese Cuckoo-Shrike","Campephagidae","Birds"
"Garrulax berthemyi","Buffy Laughingthrush","Timaliidae","Birds"
"Montifringilla ruficollis","Rufous-Necked Snowfinch","Passeridae","Birds"
"Garrulax bieti","Biet's Laughingthrush","Timaliidae","Birds"
"Emberiza leucocephalos","Pine Bunting","Emberizidae","Birds"
"Chrysococcyx xanthorhynchus","Violet Cuckoo","Cuculidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Garrulax rufogularis","Rufous-Chinned Laughingthrush","Timaliidae","Birds"
"Prinia flaviventris","Yellow-Bellied Prinia","Cisticolidae","Birds"
"Psittacula roseata","Blossom-Headed Parakeet","Psittacidae","Birds"
"Garrulax erythrocephalus","Red-Headed Laughingthrush","Timaliidae","Birds"
"Pteruthius melanotis","Black-Eared Shrike-Babbler","Timaliidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Aethopyga siparaja","Crimson Sunbird","Nectariniidae","Birds"
"Heterophasia annectens","Chestnut-Backed Minla","Timaliidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Sitta nagaensis","Chestnut-Vented Nuthatch","Sittidae","Birds"
"Hirundo concolor","Dusky Crag Martin","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Napothera brevicaudata","Streaked Wren-Babbler","Timaliidae","Birds"
"Ithaginis cruentus","Blood Pheasant","Phasianidae","Birds"
"Merops philippinus","Blue-Tailed Bee-Eater","Meropidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Garrulax henrici","Prince Henry's Laughingthrush","Timaliidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Aythya baeri","Baer's Pochard","Anatidae","Birds"
"Latoucheornis siemsseni","Slaty Bunting","Emberizidae","Birds"
"Merops leschenaulti","Chestnut-Headed Bee-Eater","Meropidae","Birds"
"Aegithalos iouschistos","Black-Browed Tit","Aegithalidae","Birds"
"Nectarinia asiatica","Purple Sunbird","Nectariniidae","Birds"
"Crypsirina cucullata","Hooded Treepie","Corvidae","Birds"
"Tarsiger indicus","White-Browed Bush-Robin","Muscicapidae","Birds"
"Carpodacus rubescens","Blanford's Rosefinch","Fringillidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Artamus fuscus","Ashy Woodswallow","Artamidae","Birds"
"Pteruthius flaviscapis","White-Browed Shrike-Babbler","Timaliidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Emberiza tristrami","Tristram's Bunting","Emberizidae","Birds"
"Eurochelidon sirintarae","White Eyed River Martin","Hirundinidae","Birds"
"Prunella fulvescens","Brown Accentor","Prunellidae","Birds"
"Carduelis flavirostris","Twite","Fringillidae","Birds"
"Phoenicurus auroreus","Daurian Redstart","Muscicapidae","Birds"
"Chrysocolaptes lucidus","Greater Flameback","Picidae","Birds"
"Picus flavinucha","Greater Yellow-Naped Woodpecker","Picidae","Birds"
"Tetraophasis obscurus","Verreaux's Monal Partridge","Phasianidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Garrulax gularis","Rufous Vented Laughingthrush","Timaliidae","Birds"
"Lophura nycthemera","Silver Pheasant","Phasianidae","Birds"
"Falco severus","Oriental Hobby","Falconidae","Birds"
"Orthotomus atrogularis","Philippine Tailorbird","Sylviidae","Birds"
"Trichastoma tickelli","Buff Breasted Babbler","Timaliidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Leptopoecile elegans","Crested Tit-Warbler","Aegithalidae","Birds"
"Acrocephalus agricola","Paddyfield Warbler","Sylviidae","Birds"
"Sarkidiornis melanotos","Comb Duck","Anatidae","Birds"
"Pellorneum albiventre","Plain Brown Babbler","Timaliidae","Birds"
"Emberiza godlewskii","Godlewski's Bunting","Emberizidae","Birds"
"Tragopan temminckii","Temminck's Tragopan","Phasianidae","Birds"
"Phylloscopus emeiensis","Emei Leaf Warbler","Sylviidae","Birds"
"Ninox scutulata","Brown Hawk-Owl","Strigidae","Birds"
"Alcippe manipurensis","Streak-Throated Fulvetta","Timaliidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Babax lanceolatus","Chinese Babax","Timaliidae","Birds"
"Locustella certhiola","Pallas's Grasshopper Warbler","Sylviidae","Birds"
"Lanius tigrinus","Tiger Shrike","Laniidae","Birds"
"Corvus splendens","House Crow","Corvidae","Birds"
"Ketupa flavipes","Tawny Fish-Owl","Strigidae","Birds"
"Cettia acanthizoides","Yellowish Bellied Bush Warbler","Sylviidae","Birds"
"Parus davidi","Pere David's Tit","Paridae","Birds"
"Garrulax subunicolor","Scaly Laughingthrush","Timaliidae","Birds"
"Picus chlorolophus","Lesser Yellownape","Picidae","Birds"
"Pomatorhinus hypoleucos","Large Scimitar-Babbler","Timaliidae","Birds"
"Acridotheres albocinctus","Collared Myna","Sturnidae","Birds"
"Chloropsis aurifrons","Golden-Fronted Leafbird","Chloropseidae","Birds"
"Aethopyga christinae","Fork-Tailed Sunbird","Nectariniidae","Birds"
"Picus rabieri","Red-Collared Woodpecker","Picidae","Birds"
"Caprimulgus macrurus","Large-Tailed Nightjar","Caprimulgidae","Birds"
"Anthracoceros albirostris","Oriental Pied Hornbill","Bucerotidae","Birds"
"Alcedo meninting","Blue-Eared Kingfisher","Alcedinidae","Birds"
"Psittacula finschii","Gray Headed Parakeet","Psittacidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Chloropsis hardwickii","Orange-Bellied Leafbird","Chloropseidae","Birds"
"Alophoixus pallidus","Olivaceous Bearded Bulbul","Pycnonotidae","Birds"
"Hydrophasianus chirurgus","Pheasant-Tailed Jacana","Jacanidae","Birds"
"Alcippe variegaticeps","Gold-Fronted Fulvetta","Timaliidae","Birds"
"Nyctyornis athertoni","Blue-Bearded Bee-Eater","Meropidae","Birds"
"Sitta magna","Giant Nuthatch","Sittidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Gecinulus viridis","Bamboo Woodpecker","Picidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Emberiza cioides","Meadow Bunting","Emberizidae","Birds"
"Butastur indicus","Grey-Faced Buzzard","Accipitridae","Birds"
"Hemixos castanonotus","Chestnut Bulbul","Pycnonotidae","Birds"
"Mycerobas carnipes","White-Winged Grosbeak","Fringillidae","Birds"
"Dendrocitta vagabunda","Indian Treepie","Corvidae","Birds"
"Garrulax leucolophus","White-Crested Laughingthrush","Timaliidae","Birds"
"Myzornis pyrrhoura","Fire-Tailed Myzornis","Timaliidae","Birds"
"Megalaima franklinii","Golden-Throated Barbet","Ramphastidae","Birds"
"Pycnonotus jocosus","Red-Whiskered Bulbul","Pycnonotidae","Birds"
"Ichthyophaga ichthyaetus","Grey-Headed Fish-Eagle","Accipitridae","Birds"
"Paradoxornis davidianus","David's Parrotbill","Timaliidae","Birds"
"Circus spilonotus","Eastern Marsh-Harrier","Accipitridae","Birds"
"Seicercus affinis","Allied Flycatcher-Warbler","Sylviidae","Birds"
"Gallinago nemoricola","Wood Snipe","Scolopacidae","Birds"
"Ficedula sapphira","Sapphire-Headed Flycatcher","Muscicapidae","Birds"
"Merops orientalis","Little Green Bee-Eater","Meropidae","Birds"
"Arborophila chloropus","Scaly-Breasted Partridge","Phasianidae","Birds"
"Polyplectron bicalcaratum","Burmese Peacock-Pheasant","Phasianidae","Birds"
"Arborophila atrogularis","White-Cheeked Partridge","Phasianidae","Birds"
"Gampsorhynchus torquatus","Collared Babbler","Timaliidae","Birds"
"Francolinus pintadeanus","Chinese Francolin","Phasianidae","Birds"
"Carpodacus edwardsii","Dark-Rumped Rosefinch","Fringillidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Mycerobas melanozanthos","Spot-Winged Grosbeak","Fringillidae","Birds"
"Pnoepyga pusilla","Pygmy Wren-Babbler","Timaliidae","Birds"
"Circus melanoleucos","Pied Harrier","Accipitridae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Delichon nipalense","Nepal House Martin","Hirundinidae","Birds"
"Gallinago megala","Swinhoe's Snipe","Scolopacidae","Birds"
"Alcippe nipalensis","Nepal Fulvetta","Timaliidae","Birds"
"Zoothera monticola","Long-Billed Thrush","Turdidae","Birds"
"Riparia paludicola","Plain Martin","Hirundinidae","Birds"
"Pitta elliotii","Bar-Bellied Pitta","Pittidae","Birds"
"Dinopium javanense","Common Gold-Backed Woodpecker","Picidae","Birds"
"Stachyris ambigua","Buff-Chested Babbler","Timaliidae","Birds"
"Montifringilla taczanowskii","White-Rumped Snowfinch","Passeridae","Birds"
"Seicercus poliogenys","Grey-Cheeked Flycatcher-Warbler","Sylviidae","Birds"
"Luscinia pectardens","David's Rubythroat","Muscicapidae","Birds"
"Anhinga melanogaster","Indian Darter","Anhingidae","Birds"
"Gampsorhynchus rufulus","White-Headed Shrike-Babbler","Timaliidae","Birds"
"Turdus kessleri","White-Backed Thrush","Turdidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Seicercus valentini","Bianchi's Warbler","Sylviidae","Birds"
"Phodilus badius","Bay Owl","Tytonidae","Birds"
"Alcippe chrysotis","Golden-Breasted Fulvetta","Timaliidae","Birds"
"Ceyx erithaca","Black Backed Kingfisher","Alcedinidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Ficedula superciliaris","White-Browed Blue Flycatcher","Muscicapidae","Birds"
"Amaurornis phoenicurus","White-Breasted Waterhen","Rallidae","Birds"
"Microhierax melanoleucos","Pied Falconet","Falconidae","Birds"
"Alcippe poioicephala","Brown-Cheeked Fulvetta","Timaliidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Parus dichrous","Grey-Crested Tit","Paridae","Birds"
"Turdus rubrocanus","Grey-Headed Thrush","Turdidae","Birds"
"Garrulax milnei","Red-Tailed Laughingthrush","Timaliidae","Birds"
"Stachyris rufifrons","Rufous-Fronted Babbler","Timaliidae","Birds"
"Sitta himalayensis","White-Tailed Nuthatch","Sittidae","Birds"
"Alcippe striaticollis","Chinese Fulvetta","Timaliidae","Birds"
"Dicrurus paradiseus","Greater Racket-Tailed Drongo","Dicruridae","Birds"
"Columba rupestris","Hill Pigeon","Columbidae","Birds"
"Rhipidura hypoxantha","Yellow-Bellied Fantail","Rhipiduridae","Birds"
"Sturnus sturninus","Daurian Starling","Sturnidae","Birds"
"Brachypteryx stellata","Gould's Shortwing","Turdidae","Birds"
"Emberiza elegans","Yellow-Headed Bunting","Emberizidae","Birds"
"Alcippe rufogularis","Rufous-Throated Fulvetta","Timaliidae","Birds"
"Pelargopsis capensis","Stork-Billed Kingfisher","Alcedinidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Sturnus sericeus","Silky Starling","Sturnidae","Birds"
"Prinia polychroa","Brown Prinia","Cisticolidae","Birds"
"Garrulax lunulatus","Bar-Backed Laughingthrush","Timaliidae","Birds"
"Bradypterus mandelli","Russet Bush Warbler","Sylviidae","Birds"
"Ixobrychus sinensis","Yellow Bittern","Ardeidae","Birds"
"Perdix hodgsoniae","Tibetan Partridge","Phasianidae","Birds"
"Saxicola jerdoni","Jerdon's Bushchat","Muscicapidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Parus hypermelaenus","Black-Bibbed Tit","Paridae","Birds"
"Loriculus vernalis","Vernal Hanging-Parrot","Psittacidae","Birds"
"Dendrocopos hyperythrus","Rufous-Bellied Woodpecker","Picidae","Birds"
"Cyornis magnirostris","Large Blue Flycatcher","Muscicapidae","Birds"
"Megalaima virens","Great Barbet","Ramphastidae","Birds"
"Treron bicinctus","Orange Breasted Green Pigeon","Columbidae","Birds"
"Cairina scutulata","White-Winged Duck","Anatidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Parus spilonotus","Chinese Yellow Tit","Paridae","Birds"
"Garrulax cineraceus","Ashy Laughingthrush","Timaliidae","Birds"
"Phylloscopus xanthoschistos","Grey-Hooded Warbler","Sylviidae","Birds"
"Garrulax maximus","Giant Laughingthrush","Timaliidae","Birds"
"Paradoxornis nipalensis","Black-Throated Parrotbill","Timaliidae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Ceryle rudis","Pied Kingfisher","Alcedinidae","Birds"
"Oriolus chinensis","Black-Naped Oriole","Oriolidae","Birds"
"Garrulax pectoralis","Greater Necklaced Laughingthrush","Timaliidae","Birds"
"Elanus caeruleus","Black-Winged Kite","Accipitridae","Birds"
"Tetraophasis szechenyii","Szecheny's Partridge","Phasianidae","Birds"
"Heterophasia picaoides","Long-Tailed Sibia","Timaliidae","Birds"
"Prinia hodgsonii","Franklin's Prinia","Cisticolidae","Birds"
"Pycnonotus flavescens","Flavescent Bulbul","Pycnonotidae","Birds"
"Copsychus saularis","Oriental Magpie-Robin","Muscicapidae","Birds"
"Turdus obscurus","Eyebrowed Thrush","Turdidae","Birds"
"Pomatorhinus gravivox","Black Streaked Scimitar Babbler","Timaliidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Accipiter gularis","Japanese Sparrowhawk","Accipitridae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
