Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Andorra region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Caprimulgus ruficollis","Red-Necked Nightjar","Caprimulgidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Pterocles alchata","Pin-Tailed Sandgrouse","Pteroclididae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Netta rufina","Red-Crested Pochard","Anatidae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Gyps fulvus","European Griffon Vulture","Accipitridae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Sylvia conspicillata","Spectacled Warbler","Sylviidae","Birds"
"Emberiza cirlus","Cirl Bunting","Emberizidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Calidris alba","Sanderling","Scolopacidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Glareola pratincola","Collared Pratincole","Glareolidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Neophron percnopterus","Egyptian Vulture","Accipitridae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Tachymarptis melba","Alpine Swift","Apodidae","Birds"
"Prunella modularis","Dunnock","Prunellidae","Birds"
"Pernis apivorus","European Honey-Buzzard","Accipitridae","Birds"
"Aquila fasciatus","Bonelli's Eagle","Accipitridae","Birds"
"Porphyrio porphyrio","Purple Swamphen","Rallidae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Milvus milvus","Red Kite","Accipitridae","Birds"
"Sylvia hortensis","Orphean Warbler","Sylviidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Tringa nebularia","Greenshank","Scolopacidae","Birds"
"Sylvia melanocephala","Sardinian Warbler","Sylviidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Ardea purpurea","Purple Heron","Ardeidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Miliaria calandra","Corn Bunting","Emberizidae","Birds"
"Hieraaetus pennatus","Booted Eagle","Accipitridae","Birds"
"Carduelis citrinella","Alpine Citril Finch","Fringillidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
