Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Bosnia and Herzegovina region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Passer hispaniolensis","Spanish Sparrow","Passeridae","Birds"
"Hippolais polyglotta","Melodious Warbler","Sylviidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Puffinus mauretanicus","Balearic Shearwater","Procellariidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Sitta neumayer","Western Rock-Nuthatch","Sittidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Falco eleonorae","Eleonora's Falcon","Falconidae","Birds"
"Serinus serinus","European Serin","Fringillidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Oenanthe hispanica","Black-Eared Wheatear","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Phylloscopus orientalis","Eastern Bonelli's Warbler","Sylviidae","Birds"
"Calonectris diomedea","Scopoli's Shearwater","Procellariidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Dendrocopos medius","Middle Spotted Woodpecker","Picidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Locustella fluviatilis","River Warbler","Sylviidae","Birds"
"Hippolais olivetorum","Olive-Tree Warbler","Sylviidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Neophron percnopterus","Egyptian Vulture","Accipitridae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Tachymarptis melba","Alpine Swift","Apodidae","Birds"
"Prunella modularis","Dunnock","Prunellidae","Birds"
"Cygnus cygnus","Whooper Swan","Anatidae","Birds"
"Pernis apivorus","European Honey-Buzzard","Accipitridae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Aquila fasciatus","Bonelli's Eagle","Accipitridae","Birds"
"Acrocephalus schoenobaenus","Sedge Warbler","Sylviidae","Birds"
"Sylvia melanocephala","Sardinian Warbler","Sylviidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Ardea purpurea","Purple Heron","Ardeidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Aythya nyroca","Ferruginous Pochard","Anatidae","Birds"
"Miliaria calandra","Corn Bunting","Emberizidae","Birds"
"Hieraaetus pennatus","Booted Eagle","Accipitridae","Birds"
"Carduelis citrinella","Alpine Citril Finch","Fringillidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
"Milvus milvus","Red Kite","Accipitridae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Sylvia hortensis","Orphean Warbler","Sylviidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Hippolais pallida","Olivaceous Warbler","Sylviidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Otis tarda","Great Bustard","Otididae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Lanius senator","Woodchat Shrike","Laniidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Accipiter brevipes","Levant Sparrowhawk","Accipitridae","Birds"
"Phalacrocorax aristotelis","European Shag","Phalacrocoracidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Parus lugubris","Sombre Tit","Paridae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Montifringilla nivalis","White-Winged Snowfinch","Passeridae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Ciconia ciconia","White Stork","Ciconiidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Phylloscopus sibilatrix","Wood Warbler","Sylviidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Erythropygia galactotes","Rufous Bush Robin","Muscicapidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Netta rufina","Red-Crested Pochard","Anatidae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Acrocephalus melanopogon","Moustached Warbler","Sylviidae","Birds"
"Puffinus yelkouan","Mediterranean Shearwater","Procellariidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Oriolus oriolus","Eurasian Golden Oriole","Oriolidae","Birds"
"Anthus campestris","Tawny Pipit","Motacillidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Gallinago media","Great Snipe","Scolopacidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Cettia cetti","Cetti's Warbler","Sylviidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Locustella naevia","Grasshopper Warbler","Sylviidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Larus michahellis","Yellow Legged Gull","Laridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Alectoris graeca","Rock Partridge","Phasianidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Circus pygargus","Montagu's Harrier","Accipitridae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Glaucidium passerinum","Eurasian Pygmy-Owl","Strigidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Lanius minor","Lesser Grey Shrike","Laniidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Turdus torquatus","Ring Ouzel","Turdidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Pelecanus onocrotalus","Great White Pelican","Pelecanidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Gyps fulvus","European Griffon Vulture","Accipitridae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Dendrocopos syriacus","Syrian Woodpecker","Picidae","Birds"
"Emberiza cirlus","Cirl Bunting","Emberizidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Emberiza melanocephala","Black-Headed Bunting","Emberizidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Apus pallidus","Pallid Swift","Apodidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Apodemus agrarius","Striped Field Mouse","Muridae","Mammals"
"Myotis mystacinus","Whiskered Bat","Vespertilionidae","Mammals"
"Cricetus cricetus","Common Hamster","Cricetidae","Mammals"
"Felis silvestris","Wildcat","Felidae","Mammals"
"Erinaceus roumanicus","Northern White-Breasted Hedgehog","Erinaceidae","Mammals"
"Balaenoptera acutorostrata","Common Minke Whale","Balaenopteridae","Mammals"
"Lutra lutra","European Otter","Mustelidae","Mammals"
"Physeter macrocephalus","Sperm Whale","Physeteridae","Mammals"
"Rhinolophus mehelyi","Mehely's Horseshoe Bat","Rhinolophidae","Mammals"
"Oryctolagus cuniculus","European Rabbit","Leporidae","Mammals"
"Vespertilio murinus","Parti-Coloured Bat","Vespertilionidae","Mammals"
"Myotis emarginatus","Notch-Eared Bat","Vespertilionidae","Mammals"
"Apodemus flavicollis","Yellow-Necked Mouse","Muridae","Mammals"
"Myotis aurascens","Steppe Whiskered Bat","Vespertilionidae","Mammals"
"Nyctereutes procyonoides","Racoon Dog","Canidae","Mammals"
"Microtus subterraneus","Common Pine Vole","Cricetidae","Mammals"
"Ziphius cavirostris","Cuvier's Beaked Whale","Ziphiidae","Mammals"
"Mus musculus","House Mouse","Muridae","Mammals"
"Crocidura leucodon","Bicolored Shrew","Soricidae","Mammals"
"Microtus agrestis","Field Vole","Cricetidae","Mammals"
"Myotis alcathoe","Alcathoe Myotis","Vespertilionidae","Mammals"
"Rhinolophus blasii","Blasius' Horseshoe Bat","Rhinolophidae","Mammals"
"Grampus griseus","Risso's Dolphin","Delphinidae","Mammals"
"Sorex alpinus","Alpine Shrew","Soricidae","Mammals"
"Sus scrofa","Wild Boar","Suidae","Mammals"
"Pipistrellus kuhlii","Kuhl's Pipistrelle","Vespertilionidae","Mammals"
"Rhinolophus euryale","Mediterranean Horseshoe Bat","Rhinolophidae","Mammals"
"Dama dama","Fallow Deer","Cervidae","Mammals"
"Myotis brandtii","Brandt's Bat","Vespertilionidae","Mammals"
"Rhinolophus hipposideros","Lesser Horseshoe Bat","Rhinolophidae","Mammals"
"Myotis myotis","Mouse-Eared Bat","Vespertilionidae","Mammals"
"Microtus thomasi","Thomas's Pine Vole","Cricetidae","Mammals"
"Hypsugo savii","Savi's Pipistrelle","Vespertilionidae","Mammals"
"Arvicola amphibius","Eurasian Water Vole","Cricetidae","Mammals"
"Pipistrellus nathusii","Nathusius' Pipistrelle","Vespertilionidae","Mammals"
"Rupicapra rupicapra","Alpine Chamois","Bovidae","Mammals"
"Myotis daubentonii","Daubenton's Bat","Vespertilionidae","Mammals"
"Mustela putorius","Polecat","Mustelidae","Mammals"
"Sorex araneus","Eurasian Common Shrew","Soricidae","Mammals"
"Ursus arctos","Grizzly Bear","Ursidae","Mammals"
"Rattus norvegicus","Brown Rat","Muridae","Mammals"
"Eliomys quercinus","Garden Dormouse","Gliridae","Mammals"
"Myotis capaccinii","Long-Fingered Bat","Vespertilionidae","Mammals"
"Barbastella barbastellus","Western Barbastelle","Vespertilionidae","Mammals"
"Pipistrellus pygmaeus","Soprano Pipistrelle","Vespertilionidae","Mammals"
"Rhinolophus ferrumequinum","Greater Horseshoe Bat","Rhinolophidae","Mammals"
"Mustela eversmanii","Steppe Polecat","Mustelidae","Mammals"
"Myotis nattereri","Natterer's Bat","Vespertilionidae","Mammals"
"Pseudorca crassidens","False Killer Whale","Delphinidae","Mammals"
"Lepus europaeus","Brown Hare","Leporidae","Mammals"
"Plecotus macrobullaris","Mountain Long-Eared Bat","Vespertilionidae","Mammals"
"Mustela nivalis","Weasel","Mustelidae","Mammals"
"Rattus rattus","Black Rat","Muridae","Mammals"
"Plecotus kolombatovici","Kolombatovic's Long-Eared Bat","Vespertilionidae","Mammals"
"Tadarida teniotis","European Free-Tailed Bat","Molossidae","Mammals"
"Castor fiber","European Beaver","Castoridae","Mammals"
"Eptesicus serotinus","Serotine","Vespertilionidae","Mammals"
"Apodemus epimelas","Western Broad Toothed Field Mouse","Muridae","Mammals"
"Lynx lynx","Lynx","Felidae","Mammals"
"Apodemus sylvaticus","Wood Mouse","Muridae","Mammals"
