Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Bulgaria region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Pelecanus onocrotalus","Great White Pelican","Pelecanidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
