Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Croatia region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Carduelis citrinella","Alpine Citril Finch","Fringillidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Otis tarda","Great Bustard","Otididae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Montifringilla nivalis","White-Winged Snowfinch","Passeridae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Ciconia ciconia","White Stork","Ciconiidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Emberiza melanocephala","Black-Headed Bunting","Emberizidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Limosa lapponica","Bar-Tailed Godwit","Scolopacidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Larus fuscus","Scandinavian Lesser Black-Backed Gull","Laridae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Oriolus oriolus","Eurasian Golden Oriole","Oriolidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Gallinago media","Great Snipe","Scolopacidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Oxyura leucocephala","White-Headed Duck","Anatidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Locustella naevia","Grasshopper Warbler","Sylviidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
