Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Estonia region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Perisoreus infaustus","Siberian Jay","Corvidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Branta leucopsis","Balnacle Goose","Anatidae","Birds"
"Xenus cinereus","Terek Sandpiper","Scolopacidae","Birds"
"Aythya marila","Greater Scaup","Anatidae","Birds"
"Larus fuscus","Scandinavian Lesser Black-Backed Gull","Laridae","Birds"
"Hirundo rustica","Barn Swallow","Hirundinidae","Birds"
"Tringa nebularia","Greenshank","Scolopacidae","Birds"
"Lanius excubitor","Great Grey Shrike","Laniidae","Birds"
"Asio otus","Long-Eared Owl","Strigidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Bubo bubo","Eurasian Eagle Owl","Strigidae","Birds"
"Chlidonias niger","Black Tern","Laridae","Birds"
"Phylloscopus trochiloides","Greenish Warbler","Sylviidae","Birds"
"Alauda arvensis","Skylark","Alaudidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Surnia ulula","Northern Hawk Owl","Strigidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Loxia pytyopsittacus","Parrot Crossbill","Fringillidae","Birds"
