Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the France region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Alopochen aegyptiaca","Egyptian Goose","Anatidae","Birds"
"Phoenicopterus roseus","Greater Flamingo","Phoenicopteridae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Phylloscopus sibilatrix","Wood Warbler","Sylviidae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Sylvia hortensis","Orphean Warbler","Sylviidae","Birds"
"Tringa nebularia","Greenshank","Scolopacidae","Birds"
"Pluvialis squatarola","Grey Plover","Charadriidae","Birds"
"Sitta europaea","Wood Nuthatch","Sittidae","Birds"
"Cettia cetti","Cetti's Warbler","Sylviidae","Birds"
"Tetrax tetrax","Little Bustard","Otididae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Anser brachyrhynchus","Pink-Footed Goose","Anatidae","Birds"
"Aix galericulata","Mandarin Duck","Anatidae","Birds"
"Cygnus columbianus","Tundra Swan","Anatidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Anthus campestris","Tawny Pipit","Motacillidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Carduelis corsicana","Mediterranean Citril Finch","Fringillidae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Sylvia sarda","Marmora's Warbler","Sylviidae","Birds"
"Turdus torquatus","Ring Ouzel","Turdidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Glaucidium passerinum","Eurasian Pygmy-Owl","Strigidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Chersophilus duponti","Dupont's Lark","Alaudidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
