Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Hungary region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Oxyura leucocephala","White-Headed Duck","Anatidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Luscinia luscinia","Thrush Nightingale","Muscicapidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Lanius senator","Woodchat Shrike","Laniidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Hirundo rupestris","Eurasian Crag-Martin","Hirundinidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
