Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Kosovo region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Oenanthe hispanica","Black-Eared Wheatear","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Phylloscopus orientalis","Eastern Bonelli's Warbler","Sylviidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Pyrrhocorax pyrrhocorax","Red-Billed Chough","Corvidae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Hirundo daurica","Red-Rumped Swallow","Hirundinidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Chlidonias leucopterus","White-Winged Black Tern","Laridae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Pelecanus onocrotalus","Great White Pelican","Pelecanidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
