Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Liechtenstein region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Gypaetus barbatus","Lammergeier","Accipitridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Porzana pusilla","Baillon's Crake","Rallidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
