Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Moldova region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Passer hispaniolensis","Spanish Sparrow","Passeridae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Acrocephalus schoenobaenus","Sedge Warbler","Sylviidae","Birds"
"Serinus serinus","European Serin","Fringillidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Dendrocopos leucotos","White-Backed Woodpecker","Picidae","Birds"
"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Melanocorypha leucoptera","White-Winged Lark","Alaudidae","Birds"
"Burhinus oedicnemus","Stone-Curlew","Burhinidae","Birds"
"Saxicola torquatus","Common Stonechat","Muscicapidae","Birds"
"Delichon urbicum","Northern House Martin","Hirundinidae","Birds"
"Platalea leucorodia","Eurasian Spoonbill","Threskiornithidae","Birds"
"Dendrocopos major","Great Spotted Woodpecker","Picidae","Birds"
"Falco tinnunculus","Common Kestrel","Falconidae","Birds"
"Acrocephalus dumetorum","Blyth's Reed Warbler","Sylviidae","Birds"
"Mergus serrator","Red-Breasted Merganser","Anatidae","Birds"
"Circaetus gallicus","Short-Toed Eagle","Accipitridae","Birds"
"Fulica atra","Common Coot","Rallidae","Birds"
"Parus major","Great Tit","Paridae","Birds"
"Regulus ignicapilla","Firecrest","Reguliidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Aquila clanga","Greater Spotted Eagle","Accipitridae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Remiz pendulinus","Eurasian Penduline Tit","Remizidae","Birds"
"Tyto alba","Barn Owl","Tytonidae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Dendrocopos syriacus","Syrian Woodpecker","Picidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Dendrocopos medius","Middle Spotted Woodpecker","Picidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Galerida cristata","Crested Lark","Alaudidae","Birds"
"Milvus migrans","Black Kite","Accipitridae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Glareola pratincola","Collared Pratincole","Glareolidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Locustella fluviatilis","River Warbler","Sylviidae","Birds"
"Carpodacus erythrinus","Common Rosefinch","Fringillidae","Birds"
"Luscinia svecica","Bluethroat","Muscicapidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Neophron percnopterus","Egyptian Vulture","Accipitridae","Birds"
"Mergus merganser","Goosander","Anatidae","Birds"
"Plectrophenax nivalis","Snow Bunting","Emberizidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Prunella modularis","Dunnock","Prunellidae","Birds"
"Cygnus cygnus","Whooper Swan","Anatidae","Birds"
"Pernis apivorus","European Honey-Buzzard","Accipitridae","Birds"
"Buteo rufinus","Long-Legged Buzzard","Accipitridae","Birds"
"Anser fabalis","Bean Goose","Anatidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Falco cherrug","Saker Falcon","Falconidae","Birds"
