Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Monaco region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Montifringilla nivalis","White-Winged Snowfinch","Passeridae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Tringa melanoleuca","Greater Yellowlegs","Scolopacidae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Fratercula arctica","Puffin","Alcidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Recurvirostra avosetta","Pied Avocet","Recurvirostridae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Phalacrocorax aristotelis","European Shag","Phalacrocoracidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Apus pallidus","Pallid Swift","Apodidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Charadrius hiaticula","Common Ringed Plover","Charadriidae","Birds"
"Alectoris rufa","Red-Legged Partridge","Phasianidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Hippolais polyglotta","Melodious Warbler","Sylviidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Serinus serinus","European Serin","Fringillidae","Birds"
"Oenanthe oenanthe","Northern Wheatear","Muscicapidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Cuculus canorus","Common Cuckoo","Cuculidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Tichodroma muraria","Wallcreeper","Sittidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Strix aluco","Tawny Owl","Strigidae","Birds"
"Phylloscopus trochilus","Willow Warbler","Sylviidae","Birds"
"Luscinia megarhynchos","Nightingale","Muscicapidae","Birds"
"Aegithalos caudatus","Long-Tailed Tit","Aegithalidae","Birds"
"Fringilla montifringilla","Brambling","Fringillidae","Birds"
"Tachymarptis melba","Alpine Swift","Apodidae","Birds"
"Prunella modularis","Dunnock","Prunellidae","Birds"
"Somateria mollissima","Eider","Anatidae","Birds"
"Pernis apivorus","European Honey-Buzzard","Accipitridae","Birds"
"Aythya nyroca","Ferruginous Pochard","Anatidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Carduelis cannabina","Common Linnet","Fringillidae","Birds"
"Phylloscopus collybita","Chiffchaff","Sylviidae","Birds"
"Saxicola rubetra","Whinchat","Muscicapidae","Birds"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Lagopus muta","Rock Ptarmigan","Phasianidae","Birds"
"Phylloscopus bonelli","Bonelli's Warbler","Sylviidae","Birds"
