Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Montenegro region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Passer hispaniolensis","Spanish Sparrow","Passeridae","Birds"
"Petronia petronia","Rock Sparrow","Passeridae","Birds"
"Charadrius dubius","Little Ringed Plover","Charadriidae","Birds"
"Pica pica","Black-Billed Magpie","Corvidae","Birds"
"Acrocephalus paludicola","Aquatic Warbler","Sylviidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Streptopelia turtur","Turtle Dove","Columbidae","Birds"
"Ficedula parva","Red-Breasted Flycatcher","Muscicapidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Phalacrocorax pygmeus","Pygmy Cormorant","Phalacrocoracidae","Birds"
"Circus macrourus","Pallid Harrier","Accipitridae","Birds"
"Falco biarmicus","Lanner","Falconidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Circus aeruginosus","Eurasian Marsh Harrier","Accipitridae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Upupa epops","Hoopoe","Upupidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Pelecanus onocrotalus","Great White Pelican","Pelecanidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Emberiza cia","Rock Bunting","Emberizidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Locustella luscinioides","Savi's Warbler","Sylviidae","Birds"
"Larus audouinii","Audouin's Gull","Laridae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Ixobrychus minutus","Little Bittern","Ardeidae","Birds"
"Cinclus cinclus","Dipper","Cinclidae","Birds"
"Caprimulgus europaeus","European Nightjar","Caprimulgidae","Birds"
"Coturnix coturnix","Common Quail","Phasianidae","Birds"
"Turdus torquatus","Ring Ouzel","Turdidae","Birds"
"Buteo buteo","Buzzard","Accipitridae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Anthus spinoletta","Water Pipit","Motacillidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Ardeola ralloides","Squacco Heron","Ardeidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Larus melanocephalus","Mediterranean Gull","Laridae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Egretta garzetta","Mascarene Reef-Egret","Ardeidae","Birds"
"Anas penelope","Eurasian Wigeon","Anatidae","Birds"
"Cettia cetti","Cetti's Warbler","Sylviidae","Birds"
"Lanius minor","Lesser Grey Shrike","Laniidae","Birds"
"Picoides tridactylus","Eurasian Three-Toed Woodpecker","Picidae","Birds"
"Tringa erythropus","Spotted Redshank","Scolopacidae","Birds"
"Actitis hypoleucos","Common Sandpiper","Scolopacidae","Birds"
"Motacilla flava","Yellow Wagtail","Motacillidae","Birds"
"Sterna albifrons","Little Tern","Laridae","Birds"
"Sturnus vulgaris","Common Starling","Sturnidae","Birds"
"Ficedula semitorquata","Semi-Collared Flycatcher","Muscicapidae","Birds"
"Rallus aquaticus","Water Rail","Rallidae","Birds"
"Athene noctua","Little Owl","Strigidae","Birds"
"Pyrrhula pyrrhula","Common Bullfinch","Fringillidae","Birds"
"Corvus monedula","Eurasian Jackdaw","Corvidae","Birds"
"Larus cachinnans","Caspian Gull","Laridae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Falco naumanni","Lesser Kestrel","Falconidae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Certhia brachydactyla","Short-Toed Treecreeper","Certhiidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
"Loxia curvirostra","Red Crossbill","Fringillidae","Birds"
"Coccothraustes coccothraustes","Hawfinch","Fringillidae","Birds"
"Parus ater","Coal Tit","Paridae","Birds"
"Sylvia atricapilla","Blackcap","Sylviidae","Birds"
"Corvus corax","Common Raven","Corvidae","Birds"
"Puffinus yelkouan","Mediterranean Shearwater","Procellariidae","Birds"
"Acrocephalus melanopogon","Moustached Warbler","Sylviidae","Birds"
"Dendrocopos minor","Lesser Spotted Woodpecker","Picidae","Birds"
"Porzana parva","Little Crake","Rallidae","Birds"
"Netta rufina","Red-Crested Pochard","Anatidae","Birds"
"Steganopus tricolor","Wilson's Phalarope","Scolopacidae","Birds"
"Parus palustris","Black-Bibbed Tit","Paridae","Birds"
"Scolopax rusticola","Woodcock","Scolopacidae","Birds"
"Nucifraga caryocatactes","Spotted Nutcracker","Corvidae","Birds"
"Limosa limosa","Black-Tailed Godwit","Scolopacidae","Birds"
"Alectoris graeca","Rock Partridge","Phasianidae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Vanellus vanellus","Lapwing","Charadriidae","Birds"
"Erithacus rubecula","Robin","Muscicapidae","Birds"
"Ciconia nigra","Black Stork","Ciconiidae","Birds"
"Pelecanus crispus","Dalmatian Pelican","Pelecanidae","Birds"
"Melanocorypha calandra","Calandra Lark","Alaudidae","Birds"
"Calandrella brachydactyla","Short-Toed Lark","Alaudidae","Birds"
"Otus scops","Eurasian Scops Owl","Strigidae","Birds"
"Numenius arquata","Eurasian Curlew","Scolopacidae","Birds"
"Himantopus himantopus","Black-Winged Stilt","Recurvirostridae","Birds"
"Emberiza hortulana","Ortolan Bunting","Emberizidae","Birds"
"Passer montanus","Eurasian Tree Sparrow","Passeridae","Birds"
"Troglodytes troglodytes","Winter Wren","Troglodytidae","Birds"
"Larus michahellis","Yellow Legged Gull","Laridae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Falco peregrinus","Peregrine Falcon","Falconidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Gallinago media","Great Snipe","Scolopacidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Sylvia cantillans","Subalpine Warbler","Sylviidae","Birds"
"Turdus merula","Blackbird","Turdidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Monticola solitarius","Blue Rock Thrush","Muscicapidae","Birds"
"Phasianus colchicus","Common Pheasant","Phasianidae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Motacilla cinerea","Grey Wagtail","Motacillidae","Birds"
"Anthus campestris","Tawny Pipit","Motacillidae","Birds"
"Oriolus oriolus","Eurasian Golden Oriole","Oriolidae","Birds"
"Parus montanus","Willow Tit","Paridae","Birds"
"Certhia familiaris","Eurasian Treecreeper","Certhiidae","Birds"
"Botaurus stellaris","Bittern","Ardeidae","Birds"
"Sylvia curruca","Lesser Whitethroat","Sylviidae","Birds"
"Falco subbuteo","Eurasian Hobby","Falconidae","Birds"
"Picus canus","Grey-Faced Woodpecker","Picidae","Birds"
"Pyrrhocorax graculus","Yellow-Billed Chough","Corvidae","Birds"
"Larus genei","Slender-Billed Gull","Laridae","Birds"
"Bucephala clangula","Common Goldeneye","Anatidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Acrocephalus arundinaceus","Great Reed Warbler","Sylviidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Montifringilla nivalis","White-Winged Snowfinch","Passeridae","Birds"
"Muscicapa striata","Spotted Flycatcher","Muscicapidae","Birds"
"Parus lugubris","Sombre Tit","Paridae","Birds"
"Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Phalacrocorax aristotelis","European Shag","Phalacrocoracidae","Birds"
"Accipiter brevipes","Levant Sparrowhawk","Accipitridae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Cisticola juncidis","Zitting Cisticola","Cisticolidae","Birds"
"Tachybaptus ruficollis","Little Grebe","Podicipedidae","Birds"
"Lanius senator","Woodchat Shrike","Laniidae","Birds"
"Anser anser","Greylag Goose","Anatidae","Birds"
"Tadorna ferruginea","Ruddy Shelduck","Anatidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Corvus corone","Carrion Crow","Corvidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Hippolais pallida","Olivaceous Warbler","Sylviidae","Birds"
"Apus apus","Common Swift","Apodidae","Birds"
"Circus cyaneus","Hen Harrier","Accipitridae","Birds"
"Larus canus","Common Gull","Laridae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Emberiza schoeniclus","Reed Bunting","Emberizidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Alcedo atthis","Common Kingfisher","Alcedinidae","Birds"
"Turdus pilaris","Fieldfare","Turdidae","Birds"
"Columba palumbus","Woodpigeon","Columbidae","Birds"
"Passer domesticus","House Sparrow","Passeridae","Birds"
"Gavia arctica","Black-Throated Diver","Gaviidae","Birds"
"Phoenicurus phoenicurus","Redstart","Muscicapidae","Birds"
"Chlidonias hybrida","Whiskered Tern","Laridae","Birds"
"Aquila heliaca","Imperial Eagle","Accipitridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Apus pallidus","Pallid Swift","Apodidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Emberiza melanocephala","Black-Headed Bunting","Emberizidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Erythropygia galactotes","Rufous Bush Robin","Muscicapidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
