Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Norway region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Porzana porzana","Spotted Crake","Rallidae","Birds"
"Lagopus muta","Rock Ptarmigan","Phasianidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Calcarius lapponicus","Lapland Longspur","Emberizidae","Birds"
"Carduelis carduelis","European Goldfinch","Fringillidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Tetrao urogallus","Capercaillie","Phasianidae","Birds"
"Morus bassanus","Gannet","Sulidae","Birds"
"Alle alle","Little Auk","Alcidae","Birds"
"Carduelis flammea","Common Redpoll","Fringillidae","Birds"
"Ardea cinerea","Grey Heron","Ardeidae","Birds"
"Haliaeetus albicilla","White-Tailed Eagle","Accipitridae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Jynx torquilla","Eurasian Wryneck","Picidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Phylloscopus sibilatrix","Wood Warbler","Sylviidae","Birds"
"Phylloscopus inornatus","Yellow-Browed Warbler","Sylviidae","Birds"
"Podiceps cristatus","Great Crested Grebe","Podicipedidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Carduelis spinus","Eurasian Siskin","Fringillidae","Birds"
"Cygnus olor","Mute Swan","Anatidae","Birds"
"Strix nebulosa","Great Grey Owl","Strigidae","Birds"
"Emberiza citrinella","Yellowhammer","Emberizidae","Birds"
"Crex crex","Corncrake","Rallidae","Birds"
"Hydrobates pelagicus","European Storm-Petrel","Hydrobatidae","Birds"
"Picus viridis","Green Woodpecker","Picidae","Birds"
"Tringa ochropus","Green Sandpiper","Scolopacidae","Birds"
"Larus minutus","Little Gull","Laridae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Mergellus albellus","Smew","Anatidae","Birds"
"Sterna caspia","Caspian Tern","Laridae","Birds"
"Columba oenas","Stock Dove","Columbidae","Birds"
"Parus cristatus","Crested Tit","Paridae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Columba livia","Rock Dove","Columbidae","Birds"
"Haematopus ostralegus","Eurasian Oystercatcher","Haematopodidae","Birds"
"Perdix perdix","Grey Partridge","Phasianidae","Birds"
"Phalaropus lobatus","Red-Necked Phalarope","Scolopacidae","Birds"
"Corvus frugilegus","Rook","Corvidae","Birds"
"Anthus pratensis","Meadow Pipit","Motacillidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Fringilla coelebs","Chaffinch","Fringillidae","Birds"
"Stercorarius pomarinus","Pomarine Skua","Stercorariidae","Birds"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Tadorna tadorna","Common Shelduck","Anatidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Lymnocryptes minimus","Jack Snipe","Scolopacidae","Birds"
"Tetrao tetrix","Black Grouse","Phasianidae","Birds"
"Charadrius hiaticula","Common Ringed Plover","Charadriidae","Birds"
"Garrulus glandarius","Eurasian Jay","Corvidae","Birds"
"Turdus iliacus","Redwing","Turdidae","Birds"
"Hippolais icterina","Icterine Warbler","Sylviidae","Birds"
"Carduelis flavirostris","Twite","Fringillidae","Birds"
"Aythya ferina","Common Pochard","Anatidae","Birds"
"Dryocopus martius","Black Woodpecker","Picidae","Birds"
"Acrocephalus palustris","Marsh Warbler","Sylviidae","Birds"
"Parus caeruleus","Blue Tit","Paridae","Birds"
"Pluvialis apricaria","European Golden Plover","Charadriidae","Birds"
"Aythya fuligula","Tufted Duck","Anatidae","Birds"
"Anthus petrosus","Rock Pipit","Motacillidae","Birds"
"Phalacrocorax carbo","Cormorant","Phalacrocoracidae","Birds"
"Larus argentatus","Herring Gull","Laridae","Birds"
"Lanius collurio","Red-Backed Shrike","Laniidae","Birds"
"Streptopelia decaocto","Collared Dove","Columbidae","Birds"
"Uria aalge","Guillemot","Alcidae","Birds"
"Anthus trivialis","Tree Pipit","Motacillidae","Birds"
