Downloaded from https://mol.org on Jun 23, 2022. Inclusive species list based on approximate intersections with Political boundary polygon for the Poland region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Larus hyperboreus","Glaucous Gull","Laridae","Birds"
"Carduelis chloris","European Greenfinch","Fringillidae","Birds"
"Tringa totanus","Common Redshank","Scolopacidae","Birds"
"Coracias garrulus","Roller","Coraciidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Turdus philomelos","Song Thrush","Turdidae","Birds"
"Aquila pomarina","Lesser Spotted Eagle","Accipitridae","Birds"
"Merops apiaster","Bee-Eater","Meropidae","Birds"
"Monticola saxatilis","Rufous-Tailed Rock Thrush","Muscicapidae","Birds"
"Ficedula hypoleuca","Pied Flycatcher","Muscicapidae","Birds"
"Lullula arborea","Wood Lark","Alaudidae","Birds"
"Sylvia nisoria","Barred Warbler","Sylviidae","Birds"
"Falco vespertinus","Red-Footed Falcon","Falconidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Lanius senator","Woodchat Shrike","Laniidae","Birds"
"Phoenicurus ochruros","Black Redstart","Muscicapidae","Birds"
"Bonasa bonasia","Hazel Grouse","Phasianidae","Birds"
"Loxia pytyopsittacus","Parrot Crossbill","Fringillidae","Birds"
"Anser erythropus","Lesser White-Fronted Goose","Anatidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Strix uralensis","Ural Owl","Strigidae","Birds"
"Anas clypeata","Northern Shoveler","Anatidae","Birds"
"Sylvia communis","Whitethroat","Sylviidae","Birds"
"Tringa glareola","Wood Sandpiper","Scolopacidae","Birds"
"Panurus biarmicus","Bearded Tit","Timaliidae","Birds"
"Tringa stagnatilis","Marsh Sandpiper","Scolopacidae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Sylvia borin","Garden Warbler","Sylviidae","Birds"
"Acrocephalus scirpaceus","Eurasian Reed Warbler","Sylviidae","Birds"
"Podiceps grisegena","Red-Necked Grebe","Podicipedidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Prunella collaris","Alpine Accentor","Prunellidae","Birds"
"Anas querquedula","Garganey","Anatidae","Birds"
"Turdus viscivorus","Mistle Trush","Turdidae","Birds"
"Regulus regulus","Goldcrest","Reguliidae","Birds"
"Aegolius funereus","Boreal Owl","Strigidae","Birds"
"Bombycilla garrulus","Bohemian Waxwing","Bombycillidae","Birds"
"Podiceps auritus","Horned Grebe","Podicipedidae","Birds"
"Accipiter nisus","Eurasian Sparrowhawk","Accipitridae","Birds"
"Alca torda","Razorbill","Alcidae","Birds"
